step,epoch,loss,train_acc,val_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear
0,0,4620.0,0.11050000786781311,0.12229999899864197,2.420792579650879,2.4207923412323,2.4207923412323,149.766845703125,72.95953369140625,840.7808837890625,1.7174969911575317,1.7174967527389526,1.7174967527389526,113.89351654052734,65.84040069580078,672.416748046875,1.8021174669265747,1.8021175861358643,1.8021175861358643,259.0202941894531,140.234375,2200.857421875,1.0649040937423706,1.0649040937423706,1.0649040937423706,191.2548370361328,122.27509307861328,1573.259033203125,0.9655149579048157,0.9655149579048157,0.9655149579048157,154.8745574951172,95.09198760986328,1378.817138671875,2.5822033882141113,2.5822033882141113,2.5822033882141113,142.39341735839844,90.05341339111328,1089.928955078125,4.4215593338012695,4.421558856964111,4.421558856964111,17.107254028320312,16.457155227661133,27.87921142578125,428.5636248462726,140.234375,7798.913980066776
5,0,4004.0,0.3615000247955322,0.2963999807834625,29.821943283081055,29.821935653686523,29.821935653686523,261.7237854003906,196.67953491210938,939.082275390625,18.529037475585938,18.529037475585938,18.529037475585938,247.0138397216797,184.67935180664062,838.5689086914062,18.04793930053711,18.047937393188477,18.047937393188477,218.41824340820312,156.38731384277344,1056.7362060546875,7.907525062561035,7.907524108886719,7.907524108886719,208.8134765625,152.08192443847656,1059.4002685546875,4.852250099182129,4.852250099182129,4.852250099182129,166.5271759033203,109.31869506835938,1035.130859375,5.4835004806518555,5.4835004806518555,5.4835004806518555,157.70999145507812,90.68802642822266,1117.911865234375,12.09432315826416,12.094324111938477,12.094324111938477,9.470857620239258,7.286299705505371,21.784822463989258,524.727576106806,196.67953491210938,6165.351715087891
10,0,3516.0,0.46400001645088196,0.4388999938964844,12.853878021240234,12.85387897491455,12.85387897491455,275.6741638183594,233.94898986816406,926.9008178710938,18.377845764160156,18.377845764160156,18.377845764160156,260.2868957519531,186.77554321289062,924.4798583984375,12.892308235168457,12.892308235168457,12.892308235168457,232.88182067871094,163.63784790039062,1154.5928955078125,8.030842781066895,8.030841827392578,8.030841827392578,256.4246826171875,192.9287567138672,1226.7586669921875,6.927354335784912,6.927354335784912,6.927354335784912,212.30296325683594,154.2004852294922,1220.5211181640625,8.955081939697266,8.955080032348633,8.955080032348633,208.0823974609375,138.86813354492188,1388.787109375,19.81102752685547,19.81102752685547,19.81102752685547,13.81965446472168,11.689714431762695,29.089683532714844,594.6000505635504,233.94898986816406,6958.978486537933
15,0,3172.0,0.6060000061988831,0.4673999845981598,16.110464096069336,16.11046600341797,16.11046600341797,188.05416870117188,137.87014770507812,709.9288940429688,12.22001838684082,12.22001838684082,12.22001838684082,164.3307342529297,89.33622741699219,716.7802124023438,10.448227882385254,10.448225021362305,10.448225021362305,156.92613220214844,89.21448516845703,962.3340454101562,6.759006023406982,6.759005069732666,6.759005069732666,169.7555694580078,100.8012466430664,1020.7534790039062,5.253010272979736,5.253010272979736,5.253010272979736,135.2111053466797,75.7999496459961,975.656005859375,6.100234031677246,6.100234031677246,6.100234031677246,131.17391967773438,69.4220962524414,1044.757568359375,14.991900444030762,14.991898536682129,14.991898536682129,9.510846138000488,6.993842601776123,21.187231063842773,390.18471382801755,137.87014770507812,5523.280293464661
20,0,2908.0,0.6985000371932983,0.6500999927520752,10.86663818359375,10.8666410446167,10.8666410446167,183.36680603027344,150.19288635253906,641.2799682617188,11.497389793395996,11.49738883972168,11.49738883972168,134.94467163085938,95.5046157836914,579.5321044921875,14.14215087890625,14.142148971557617,14.142148971557617,117.22757720947266,68.65929412841797,814.0061645507812,8.597416877746582,8.597416877746582,8.597416877746582,117.4423599243164,59.294288635253906,868.2581176757812,6.7521772384643555,6.7521772384643555,6.7521772384643555,93.8948974609375,42.87250900268555,835.3117065429688,7.053668022155762,7.053668022155762,7.053668022155762,97.11892700195312,43.9687614440918,904.3883056640625,17.787181854248047,17.78718376159668,17.78718376159668,9.330172538757324,7.878274917602539,20.198928833007812,314.06969348121135,150.19288635253906,4739.671920776367
25,1,2764.0,0.7355000376701355,0.7195999622344971,17.417760848999023,17.417760848999023,17.417760848999023,128.8163604736328,97.21402740478516,521.0449829101562,11.893303871154785,11.893302917480469,11.893302917480469,123.7050552368164,64.78561401367188,587.9822387695312,10.918821334838867,10.918821334838867,10.918821334838867,123.20661926269531,65.81144714355469,908.8126831054688,8.239027976989746,8.239027976989746,8.239027976989746,144.75648498535156,82.75502014160156,1062.34423828125,8.04499626159668,8.044995307922363,8.044995307922363,117.86817169189453,63.63207244873047,992.30517578125,8.876132011413574,8.876132011413574,8.876132011413574,97.13668060302734,48.982208251953125,877.8778076171875,15.547568321228027,15.547568321228027,15.547568321228027,7.004307746887207,5.273983001708984,16.437532424926758,304.01574500706386,97.21402740478516,5047.742267608643
30,1,2608.0,0.7790000438690186,0.7407000064849854,12.849289894104004,12.849292755126953,12.849292755126953,100.22576141357422,65.88824462890625,433.3456726074219,10.929829597473145,10.929829597473145,10.929829597473145,106.78610229492188,68.46771240234375,497.3490295410156,12.417603492736816,12.417603492736816,12.417603492736816,104.94049835205078,56.80229568481445,794.7762451171875,7.58712100982666,7.58712100982666,7.58712100982666,108.56636047363281,57.16390609741211,906.198486328125,6.005660057067871,6.005660533905029,6.005660533905029,83.83013153076172,39.598731994628906,816.7039794921875,6.519827365875244,6.519827365875244,6.519827365875244,67.68383026123047,29.381357192993164,692.5673828125,11.445385932922363,11.44538402557373,11.44538402557373,6.07813024520874,4.782250881195068,13.684825897216797,237.90559657562048,68.46771240234375,4222.380340576172
35,1,inf,0.7950000166893005,0.7892000079154968,8.819555282592773,8.81955623626709,8.81955623626709,89.34559631347656,54.16307067871094,391.7869873046875,9.537644386291504,9.537644386291504,9.537644386291504,90.63841247558594,46.395179748535156,466.578125,10.475765228271484,10.475763320922852,10.475763320922852,93.21737670898438,45.243309020996094,777.802490234375,7.400704383850098,7.4007039070129395,7.4007039070129395,108.95774841308594,49.602867126464844,964.1290283203125,8.099225997924805,8.099225997924805,8.099225997924805,89.3052978515625,37.334041595458984,884.416015625,8.485115051269531,8.485116004943848,8.485116004943848,67.76908111572266,29.834701538085938,690.5303955078125,14.015583992004395,14.015583992004395,14.015583992004395,5.754775524139404,4.812658786773682,12.430307388305664,223.6687823760188,54.16307067871094,4254.506943225861
40,1,inf,0.8205000162124634,0.7594000101089478,13.295422554016113,13.29542350769043,13.29542350769043,87.47564697265625,64.85723114013672,377.5548095703125,10.955850601196289,10.955850601196289,10.955850601196289,91.355224609375,57.67689514160156,442.4253234863281,10.413321495056152,10.413321495056152,10.413321495056152,86.17100524902344,40.052207946777344,739.677734375,8.206361770629883,8.2063627243042,8.2063627243042,96.03604125976562,41.857330322265625,900.3133544921875,8.078658103942871,8.078656196594238,8.078656196594238,76.70667266845703,31.21417808532715,805.8314208984375,8.142875671386719,8.142874717712402,8.142874717712402,54.06882858276367,19.671049118041992,586.6607666015625,9.33289623260498,9.332895278930664,9.332895278930664,4.459413051605225,3.6710383892059326,10.168403625488281,205.34025937096638,64.85723114013672,3931.057197570801
45,1,inf,0.8225000500679016,0.795699954032898,11.247699737548828,11.247699737548828,11.247699737548828,101.37002563476562,78.88928985595703,402.72296142578125,12.930289268493652,12.930290222167969,12.930290222167969,82.86778259277344,40.26289367675781,443.9453430175781,10.655497550964355,10.655496597290039,10.655496597290039,83.7230224609375,39.02495193481445,741.429931640625,8.717053413391113,8.717053413391113,8.717053413391113,93.94306182861328,40.116477966308594,923.1807861328125,7.299036502838135,7.299036979675293,7.299036979675293,77.30628967285156,29.19931983947754,832.7971801757812,7.826557159423828,7.82655668258667,7.82655668258667,54.29835510253906,19.189302444458008,585.8323364257812,11.427417755126953,11.427416801452637,11.427416801452637,5.819347858428955,4.7544050216674805,12.563577651977539,206.55406079208504,78.88928985595703,4012.5756669044495
