step,epoch,loss,train_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear,val_acc
0,0,4620.0,0.11050000786781311,2.420792579650879,2.4207923412323,2.4207923412323,149.766845703125,72.95953369140625,840.7808837890625,1.7174969911575317,1.7174967527389526,1.7174967527389526,113.89351654052734,65.84040069580078,672.416748046875,1.8021174669265747,1.8021175861358643,1.8021175861358643,259.0202941894531,140.234375,2200.857421875,1.0649040937423706,1.0649040937423706,1.0649040937423706,191.2548370361328,122.27509307861328,1573.259033203125,0.9655149579048157,0.9655149579048157,0.9655149579048157,154.8745574951172,95.09198760986328,1378.817138671875,2.5822033882141113,2.5822033882141113,2.5822033882141113,142.39341735839844,90.05341339111328,1089.928955078125,4.4215593338012695,4.421558856964111,4.421558856964111,17.107254028320312,16.457155227661133,27.87921142578125,428.5636248462726,140.234375,7798.913980066776,0.23909999430179596
20,0,3578.0,0.4780000150203705,19.17376136779785,19.17376136779785,19.17376136779785,223.660400390625,183.58633422851562,787.944580078125,11.373705863952637,11.373705863952637,11.373705863952637,199.19036865234375,143.15194702148438,741.2347412109375,12.411408424377441,12.411408424377441,12.411408424377441,168.97393798828125,115.82281494140625,883.2863159179688,6.625284671783447,6.625284671783447,6.625284671783447,199.1944122314453,136.74644470214844,1012.8216552734375,5.4503583908081055,5.450357437133789,5.450357437133789,177.1807403564453,117.74762725830078,970.1473388671875,4.2669148445129395,4.266914367675781,4.266914367675781,179.97695922851562,106.09255981445312,1102.9366455078125,8.211859703063965,8.211858749389648,8.211858749389648,5.814088344573975,3.540562868118286,14.407109260559082,471.7628502274404,183.58633422851562,5580.291676998138,0.23909999430179596
40,1,3228.0,0.5870000123977661,8.65732479095459,8.65732479095459,8.65732479095459,311.09619140625,257.167236328125,1120.087890625,15.368993759155273,15.36899185180664,15.36899185180664,227.42088317871094,130.52610778808594,1066.6942138671875,12.626879692077637,12.626877784729004,12.626877784729004,194.4456329345703,91.84412384033203,1351.7122802734375,7.6910834312438965,7.6910834312438965,7.6910834312438965,223.44178771972656,117.62659454345703,1589.68310546875,7.025000095367432,7.025000095367432,7.025000095367432,181.91763305664062,100.70777893066406,1364.721435546875,5.211380481719971,5.2113800048828125,5.2113800048828125,162.17935180664062,84.60579681396484,1277.188720703125,9.180023193359375,9.180022239685059,9.180022239685059,6.192572593688965,4.184685707092285,15.36368465423584,544.3909242815847,257.167236328125,7851.21201133728,0.39169999957084656
60,2,2982.0,0.6600000262260437,20.645734786987305,20.645729064941406,20.645729064941406,316.4571228027344,270.82635498046875,1117.542724609375,19.10802459716797,19.108022689819336,19.108022689819336,221.82086181640625,111.57327270507812,1139.56103515625,14.863640785217285,14.863639831542969,14.863639831542969,200.133056640625,84.92719268798828,1616.252685546875,9.140192031860352,9.140189170837402,9.140189170837402,233.68560791015625,99.01988983154297,2067.59765625,8.018251419067383,8.018251419067383,8.018251419067383,193.93533325195312,92.85475158691406,1753.70556640625,7.1825995445251465,7.18259859085083,7.18259859085083,161.00485229492188,82.71888732910156,1435.40478515625,7.782885551452637,7.78288459777832,7.78288459777832,5.508473873138428,3.805816888809204,13.503971099853516,555.7408726564018,270.82635498046875,9230.309739589691,0.5461999773979187
80,3,2778.0,0.7285000085830688,,,,208.93341064453125,134.0585174560547,966.5513916015625,12.66077709197998,12.66077709197998,12.66077709197998,203.06085205078125,89.7846450805664,1158.127685546875,12.262378692626953,12.262378692626953,12.262378692626953,210.47561645507812,99.06999969482422,1819.2265625,10.440605163574219,10.440606117248535,10.440606117248535,262.1554260253906,114.45795440673828,2533.187744140625,9.902303695678711,9.902304649353027,9.902304649353027,211.1414337158203,93.44236755371094,2101.82177734375,8.44680404663086,8.44680404663086,8.44680404663086,154.55625915527344,63.736454010009766,1538.62646484375,11.90176010131836,11.90176010131836,11.90176010131836,6.583653450012207,4.787680625915527,15.53089714050293,516.8701408079089,134.0585174560547,10198.687153816223,0.4497999846935272
100,4,2588.0,0.784000039100647,,,,213.90914916992188,165.82737731933594,893.2509155273438,10.76887035369873,10.768869400024414,10.768869400024414,204.6831817626953,119.5885009765625,1116.7559814453125,13.474457740783691,13.474456787109375,13.474456787109375,198.0605010986328,93.93402862548828,1792.63330078125,9.397655487060547,9.397655487060547,9.397655487060547,247.11203002929688,105.57357788085938,2537.24951171875,8.923300743103027,8.923301696777344,8.923301696777344,190.3470001220703,68.41096496582031,2050.727783203125,7.533612251281738,7.53361177444458,7.53361177444458,126.34107971191406,45.673641204833984,1347.85205078125,7.840606689453125,7.840605735778809,7.840605735778809,4.559298992156982,3.3916497230529785,10.87785816192627,490.65587104711716,165.82737731933594,9807.285902500153,0.5018999576568604
120,4,inf,0.8090000152587891,,,,165.00987243652344,107.43816375732422,798.7584228515625,11.65473461151123,11.65473461151123,11.65473461151123,180.14584350585938,80.02581024169922,1095.4990234375,9.435402870178223,9.435402870178223,9.435402870178223,181.56101989746094,62.829307556152344,1816.400390625,7.87069034576416,7.870689868927002,7.870689868927002,236.7571563720703,84.03423309326172,2629.953125,7.154929161071777,7.154928684234619,7.154928684234619,186.36941528320312,65.2911148071289,2117.78564453125,7.396421432495117,7.396420478820801,7.396420478820801,116.82301330566406,39.81547546386719,1320.260009765625,8.728059768676758,8.728059768676758,8.728059768676758,4.612296104431152,3.5060250759124756,10.606679916381836,444.4890022948405,107.43816375732422,9841.503532409668,0.5018999576568604
140,5,inf,0.815000057220459,,,,201.9706573486328,126.17155456542969,942.7657470703125,15.74008846282959,15.74008846282959,15.74008846282959,207.9012908935547,96.161376953125,1225.4349365234375,14.358072280883789,14.358071327209473,14.358071327209473,215.71356201171875,90.50595092773438,2037.0474853515625,9.941323280334473,9.941323280334473,9.941323280334473,269.4294128417969,99.61103057861328,2916.946044921875,8.56531047821045,8.56531047821045,8.56531047821045,215.03099060058594,85.31809997558594,2348.13134765625,7.712875843048096,7.712876319885254,7.712876319885254,126.08418273925781,46.44839859008789,1359.86962890625,6.242541790008545,6.242542266845703,6.242542266845703,3.9156618118286133,2.596151828765869,10.134218215942383,515.7664974061306,126.17155456542969,10902.889620780945,0.6801999807357788
160,6,inf,0.8560000658035278,,,,146.57286071777344,96.11902618408203,719.8023071289062,8.637772560119629,8.637771606445312,8.637771606445312,161.412353515625,70.17516326904297,1014.7858276367188,11.456350326538086,11.456350326538086,11.456350326538086,177.33908081054688,63.74811935424805,1800.987548828125,8.699529647827148,8.699529647827148,8.699529647827148,238.9601593017578,79.02876281738281,2725.59912109375,7.490986347198486,7.4909868240356445,7.4909868240356445,183.6326141357422,57.29569625854492,2153.3349609375,6.396134376525879,6.396134376525879,6.396134376525879,106.00994110107422,33.88595199584961,1211.28515625,5.571070671081543,5.571071147918701,5.571071147918701,3.432868480682373,2.552755832672119,8.446412086486816,425.99189075476323,96.11902618408203,9682.493177890778,0.7282999753952026
180,7,inf,0.8480000495910645,,,,150.99624633789062,103.3699722290039,746.0792236328125,9.099772453308105,9.099772453308105,9.099772453308105,174.91514587402344,78.94001770019531,1099.65869140625,10.620540618896484,10.620539665222168,10.620539665222168,197.01214599609375,88.9266128540039,1964.3304443359375,9.427191734313965,9.427191734313965,9.427191734313965,258.8443908691406,91.49617004394531,2980.072998046875,9.841611862182617,9.841611862182617,9.841611862182617,203.0821075439453,74.77914428710938,2374.67822265625,8.160523414611816,8.160524368286133,8.160524368286133,109.95980072021484,42.82135772705078,1245.0533447265625,7.5522637367248535,7.5522637367248535,7.5522637367248535,4.267010688781738,3.364896297454834,9.494231224060059,461.5907802562081,103.3699722290039,10474.069059848785,0.7224999666213989
