step,epoch,loss,train_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear,val_acc
0,0,4620.0,0.11050000786781311,2.420792579650879,2.4207923412323,2.4207923412323,149.766845703125,72.95953369140625,840.7808837890625,1.7174969911575317,1.7174967527389526,1.7174967527389526,113.89351654052734,65.84040069580078,672.416748046875,1.8021174669265747,1.8021175861358643,1.8021175861358643,259.0202941894531,140.234375,2200.857421875,1.0649040937423706,1.0649040937423706,1.0649040937423706,191.2548370361328,122.27509307861328,1573.259033203125,0.9655149579048157,0.9655149579048157,0.9655149579048157,154.8745574951172,95.09198760986328,1378.817138671875,2.5822033882141113,2.5822033882141113,2.5822033882141113,142.39341735839844,90.05341339111328,1089.928955078125,4.4215593338012695,4.421558856964111,4.421558856964111,17.107254028320312,16.457155227661133,27.87921142578125,428.5636248462726,140.234375,7798.913980066776,0.28669998049736023
20,0,3482.0,0.4930000305175781,14.387085914611816,14.387084007263184,14.387084007263184,286.612548828125,194.10223388671875,1316.6171875,7.5758585929870605,7.5758585929870605,7.5758585929870605,351.4047546386719,247.9361572265625,1599.8138427734375,10.315065383911133,10.31506633758545,10.31506633758545,367.6540222167969,229.7215576171875,2691.176025390625,7.545577526092529,7.545577526092529,7.545577526092529,377.1353454589844,245.562744140625,2955.79052734375,6.107392311096191,6.107392311096191,6.107392311096191,300.7015686035156,190.39503479003906,2431.453369140625,5.557754039764404,5.5577545166015625,5.5577545166015625,276.2555847167969,167.42425537109375,2158.09619140625,20.225635528564453,20.225637435913086,20.225637435913086,10.16550064086914,8.517001152038574,21.192466735839844,806.7090589662075,247.9361572265625,13245.853981018066,0.28669998049736023
40,1,3028.0,0.659500002861023,13.856395721435547,13.856395721435547,13.856395721435547,266.4824523925781,189.2273712158203,1189.098876953125,11.854333877563477,11.854333877563477,11.854333877563477,242.94467163085938,106.3572998046875,1421.422119140625,8.574017524719238,8.574017524719238,8.574017524719238,296.4906311035156,117.66201782226562,2718.60107421875,5.5664591789245605,5.5664591789245605,5.5664591789245605,336.5032958984375,144.40672302246094,3474.39599609375,4.882645130157471,4.8826446533203125,4.8826446533203125,261.0028076171875,126.6103744506836,2736.79638671875,5.6735663414001465,5.6735663414001465,5.6735663414001465,215.38723754882812,113.56634521484375,2148.638916015625,14.640581130981445,14.640581130981445,14.640581130981445,7.84934139251709,6.052584171295166,17.4823055267334,668.1761097238152,189.2273712158203,13771.483673095703,0.5709999799728394
60,2,2814.0,0.7245000600814819,11.637321472167969,11.637321472167969,11.637321472167969,270.9878234863281,214.89859008789062,1159.182861328125,13.030601501464844,13.030600547790527,13.030600547790527,253.73001098632812,124.8876953125,1488.3834228515625,9.952679634094238,9.952680587768555,9.952680587768555,319.45318603515625,152.6777801513672,2955.080078125,7.3621416091918945,7.362140655517578,7.362140655517578,382.0039367675781,163.1051483154297,4027.00732421875,6.401073455810547,6.401073455810547,6.401073455810547,282.66571044921875,95.96183776855469,3160.17529296875,7.082597732543945,7.082597732543945,7.082597732543945,196.12461853027344,76.59634399414062,2136.833740234375,10.234930038452148,10.234929084777832,10.234929084777832,5.3555521965026855,4.068144798278809,13.139067649841309,710.5198716686851,214.89859008789062,15005.50313091278,0.7033999562263489
80,3,2664.0,0.7645000219345093,,,,251.46888732910156,191.03575134277344,1123.3326416015625,13.499204635620117,13.499205589294434,13.499205589294434,247.68377685546875,132.4105987548828,1432.001953125,7.51055908203125,7.510558128356934,7.510558128356934,289.59454345703125,133.5395050048828,2790.57470703125,5.796492099761963,5.796492099761963,5.796492099761963,380.5811767578125,161.0039825439453,4117.26611328125,5.961765766143799,5.961764812469482,5.961764812469482,299.4937438964844,110.98690032958984,3367.914306640625,7.054502487182617,7.054502010345459,7.054502010345459,192.80929565429688,68.90242004394531,2133.86083984375,11.694028854370117,11.6940279006958,11.6940279006958,6.653948783874512,5.158169746398926,15.375856399536133,693.3263183985241,191.03575134277344,15031.842968463898,0.776199996471405
100,4,inf,0.8145000338554382,,,,197.44873046875,129.9949188232422,989.8767700195312,9.215895652770996,9.215896606445312,9.215896606445312,223.4005584716797,97.51520538330078,1375.4962158203125,9.96866226196289,9.968663215637207,9.968663215637207,288.96990966796875,131.89317321777344,2786.5703125,7.035679340362549,7.035679340362549,7.035679340362549,373.6078796386719,157.78770446777344,4086.29833984375,7.0513014793396,7.051301956176758,7.051301956176758,299.8699035644531,134.77374267578125,3331.2744140625,7.378638744354248,7.378639221191406,7.378639221191406,175.1862030029297,71.7319564819336,1939.12548828125,10.775391578674316,10.775391578674316,10.775391578674316,5.3313374519348145,4.161239147186279,12.347471237182617,658.0842932526688,157.78770446777344,14572.414583683014,0.6958000063896179
120,4,inf,0.8250000476837158,,,,176.8651885986328,111.37300872802734,907.260009765625,7.505683422088623,7.505683422088623,7.505683422088623,214.39236450195312,102.97024536132812,1322.804931640625,7.547379016876221,7.547379016876221,7.547379016876221,272.00067138671875,113.56462097167969,2708.33740234375,5.842678546905518,5.842678070068359,5.842678070068359,368.6117858886719,143.41856384277344,4100.7216796875,5.391561985015869,5.391561985015869,5.391561985015869,300.11016845703125,98.26950073242188,3428.47021484375,6.82684326171875,6.826842308044434,6.826842308044434,164.67601013183594,54.88218307495117,1873.4622802734375,5.6868414878845215,5.6868414878845215,5.6868414878845215,3.578284978866577,2.4337704181671143,9.221883773803711,636.0479152353181,143.41856384277344,14389.07938861847,0.6958000063896179
140,5,inf,0.8500000238418579,,,,200.5299835205078,152.15843200683594,925.4478759765625,5.699453830718994,5.699454307556152,5.699454307556152,197.26104736328125,77.58257293701172,1263.963134765625,6.765418529510498,6.765419006347656,6.765419006347656,248.33474731445312,98.32572174072266,2591.58935546875,5.690634250640869,5.690634727478027,5.690634727478027,337.8323974609375,127.361572265625,3958.197509765625,5.928992748260498,5.92899227142334,5.92899227142334,275.91119384765625,86.62002563476562,3277.31201171875,7.073428630828857,7.073428630828857,7.073428630828857,148.2111358642578,45.03292465209961,1729.305908203125,6.705990791320801,6.705990314483643,6.705990314483643,3.8284881114959717,3.1192312240600586,8.937395095825195,594.3686147850376,152.15843200683594,13792.61711025238,0.8050000071525574
160,6,inf,0.8840000629425049,,,,183.52027893066406,115.0624008178711,896.82861328125,6.270561695098877,6.270561218261719,6.270561218261719,200.49526977539062,94.12229919433594,1259.142578125,8.610878944396973,8.610878944396973,8.610878944396973,254.22564697265625,96.45453643798828,2589.466796875,6.032707691192627,6.032707691192627,6.032707691192627,347.9659423828125,137.56748962402344,3961.27978515625,5.728231430053711,5.728231906890869,5.728231906890869,282.41497802734375,96.70835876464844,3297.3388671875,7.600330829620361,7.600330352783203,7.600330352783203,146.6038360595703,51.09482955932617,1681.181884765625,6.660920143127441,6.660919666290283,6.660919666290283,3.9337880611419678,3.1695139408111572,9.250555038452148,600.9494222741542,137.56748962402344,13735.392710208893,0.828499972820282
180,7,inf,0.8715000152587891,,,,204.72987365722656,143.0958709716797,964.3704833984375,9.070091247558594,9.070091247558594,9.070091247558594,207.90858459472656,95.49846649169922,1310.71240234375,8.709646224975586,8.709647178649902,8.709647178649902,261.0730285644531,100.46334838867188,2663.796875,7.122422218322754,7.122422695159912,7.122422695159912,345.6893005371094,110.98832702636719,4057.64404296875,8.150960922241211,8.150960922241211,8.150960922241211,282.85589599609375,78.67518615722656,3368.85791015625,8.638663291931152,8.638663291931152,8.638663291931152,142.11279296875,47.88545608520508,1639.9501953125,6.685808181762695,6.685808181762695,6.685808181762695,3.800870656967163,3.0989034175872803,8.681975364685059,611.0753537803263,143.0958709716797,14062.391478061676,0.8445000052452087
