step,epoch,loss,train_acc,val_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear
0,0,4620.0,0.11050000786781311,0.12229999899864197,2.420792579650879,2.4207923412323,2.4207923412323,149.766845703125,72.95953369140625,840.7808837890625,1.7174969911575317,1.7174967527389526,1.7174967527389526,113.89351654052734,65.84040069580078,672.416748046875,1.8021174669265747,1.8021175861358643,1.8021175861358643,259.0202941894531,140.234375,2200.857421875,1.0649040937423706,1.0649040937423706,1.0649040937423706,191.2548370361328,122.27509307861328,1573.259033203125,0.9655149579048157,0.9655149579048157,0.9655149579048157,154.8745574951172,95.09198760986328,1378.817138671875,2.5822033882141113,2.5822033882141113,2.5822033882141113,142.39341735839844,90.05341339111328,1089.928955078125,4.4215593338012695,4.421558856964111,4.421558856964111,17.107254028320312,16.457155227661133,27.87921142578125,428.5636248462726,140.234375,7798.913980066776
5,0,3924.0,0.39100003242492676,0.3033999800682068,20.906320571899414,20.90632438659668,20.90632438659668,309.9832763671875,253.84762573242188,1027.78857421875,14.571447372436523,14.571447372436523,14.571447372436523,260.745849609375,172.21145629882812,884.4407348632812,12.77945327758789,12.779452323913574,12.779452323913574,188.48867797851562,110.80620574951172,1004.0449829101562,5.775760173797607,5.775760173797607,5.775760173797607,177.1626739501953,108.75704956054688,1011.884033203125,3.494664430618286,3.494663953781128,3.494663953781128,144.31788635253906,81.82184600830078,990.2276611328125,4.449380874633789,4.449380397796631,4.449380397796631,146.52780151367188,74.65908813476562,1105.303955078125,11.40986156463623,11.40986156463623,11.40986156463623,9.292250633239746,6.288888931274414,22.202425003051758,523.8179923439671,253.84762573242188,6119.27925658226
10,0,3346.0,0.5610000491142273,0.5072000026702881,14.29629898071289,14.296298027038574,14.296298027038574,216.6398468017578,154.788818359375,836.9263305664062,13.246443748474121,13.246442794799805,13.246442794799805,214.82823181152344,136.5330047607422,854.3718872070312,12.980916976928711,12.980916023254395,12.980916023254395,190.33425903320312,119.86537170410156,1104.57177734375,8.729522705078125,8.729522705078125,8.729522705078125,193.42935180664062,126.68340301513672,1144.4842529296875,6.245389461517334,6.245388507843018,6.245388507843018,157.1988525390625,101.5270767211914,1095.831298828125,7.094004154205322,7.094003677368164,7.094003677368164,156.0243377685547,98.27566528320312,1214.21240234375,15.228641510009766,15.22864055633545,15.22864055633545,10.682528495788574,8.132455825805664,24.704421997070312,465.66192549299296,154.788818359375,6352.923583507538
15,0,3056.0,0.6365000009536743,0.6026999950408936,16.291379928588867,16.291379928588867,16.291379928588867,178.091552734375,105.36908721923828,751.5669555664062,14.078522682189941,14.078521728515625,14.078521728515625,172.0878448486328,94.97613525390625,763.1322021484375,12.597552299499512,12.597551345825195,12.597551345825195,151.32199096679688,76.09442901611328,1010.8565673828125,6.634718418121338,6.634718418121338,6.634718418121338,160.8427276611328,86.71729278564453,1079.5771484375,5.308915138244629,5.308915138244629,5.308915138244629,132.2118682861328,69.91084289550781,1040.9755859375,6.660064220428467,6.660064697265625,6.660064697265625,133.37826538085938,70.86072540283203,1121.2943115234375,18.166141510009766,18.166139602661133,18.166139602661133,11.01170825958252,9.438752174377441,22.41061782836914,382.8308169520464,105.36908721923828,5869.550679683685
20,0,2868.0,0.70250004529953,0.6636999845504761,26.274782180786133,26.274782180786133,26.274782180786133,182.8336181640625,134.64077758789062,693.333251953125,14.327871322631836,14.327871322631836,14.327871322631836,160.18441772460938,98.12464141845703,718.8234252929688,12.458524703979492,12.458525657653809,12.458525657653809,135.919189453125,68.11219024658203,986.9967041015625,7.588267803192139,7.588267803192139,7.588267803192139,143.80140686035156,75.92453002929688,1086.6512451171875,6.846371650695801,6.846372127532959,6.846372127532959,111.14581298828125,56.795799255371094,1004.2431640625,8.039349555969238,8.039348602294922,8.039348602294922,104.1666488647461,52.307918548583984,988.5355834960938,22.6127872467041,22.61278533935547,22.61278533935547,8.58499526977539,7.089346885681152,18.428911209106445,351.0685484746961,134.64077758789062,5595.160238265991
25,1,2672.0,0.7580000162124634,0.7800999879837036,16.91598892211914,16.915985107421875,16.915985107421875,87.83621215820312,49.587398529052734,407.5389404296875,9.119538307189941,9.119538307189941,9.119538307189941,96.14005279541016,48.22663116455078,490.0181579589844,7.890172004699707,7.890171527862549,7.890171527862549,98.59883880615234,46.68538284301758,793.480224609375,6.5268049240112305,6.5268049240112305,6.5268049240112305,119.03787231445312,64.72692108154297,979.142578125,6.872382640838623,6.872382164001465,6.872382164001465,97.36929321289062,49.29119110107422,922.8154296875,9.115442276000977,9.11544132232666,9.11544132232666,84.15733337402344,35.467933654785156,837.3208618164062,19.199831008911133,19.199831008911133,19.199831008911133,6.7232346534729,5.725299835205078,14.21298885345459,241.72591706566794,64.72692108154297,4520.169335842133
30,1,2554.0,0.8060000538825989,0.780299961566925,10.449055671691895,10.449055671691895,10.449055671691895,125.67029571533203,86.5319595336914,492.3082275390625,11.026348114013672,11.026348114013672,11.026348114013672,111.13282775878906,64.72095489501953,529.2017211914062,9.799806594848633,9.799806594848633,9.799806594848633,105.44291687011719,57.301815032958984,824.91796875,7.481302261352539,7.481302261352539,7.481302261352539,116.8633804321289,66.09507751464844,987.3577880859375,6.9457526206970215,6.945752143859863,6.945752143859863,93.75884246826172,51.696258544921875,900.3463134765625,7.765397071838379,7.765397071838379,7.765397071838379,74.19650268554688,36.415374755859375,734.46728515625,13.448564529418945,13.448563575744629,13.448563575744629,6.393160820007324,5.048940658569336,13.88847827911377,260.6293902479316,86.5319595336914,4549.404007911682
35,1,2548.0,0.8045000433921814,0.7687999606132507,16.50943946838379,16.509441375732422,16.509441375732422,142.03762817382812,109.8916244506836,528.8192749023438,10.693880081176758,10.693879127502441,10.693879127502441,109.77430725097656,61.68614959716797,543.5501098632812,12.679474830627441,12.679475784301758,12.679475784301758,105.51876831054688,52.98360061645508,847.5716552734375,8.209824562072754,8.209824562072754,8.209824562072754,116.1502456665039,55.407501220703125,1008.7127685546875,7.949792385101318,7.949792385101318,7.949792385101318,88.1512451171875,37.474761962890625,887.2943115234375,9.712766647338867,9.71276569366455,9.71276569366455,64.98500061035156,26.90166664123535,677.0077514648438,16.406089782714844,16.40608787536621,16.40608787536621,6.445775508880615,5.631041049957275,13.23577880859375,264.43752477047013,109.8916244506836,4588.3529171943665
40,1,inf,0.8245000243186951,0.7902999520301819,11.774263381958008,11.774263381958008,11.774263381958008,92.0569839477539,67.33013916015625,393.49847412109375,10.467031478881836,10.467031478881836,10.467031478881836,83.41021728515625,43.894775390625,445.2486267089844,8.642813682556152,8.642813682556152,8.642813682556152,82.70097351074219,33.25584411621094,749.1415405273438,7.356004238128662,7.356004238128662,7.356004238128662,98.56712341308594,39.35990524291992,938.2938232421875,6.748260498046875,6.748260974884033,6.748260974884033,79.87406158447266,31.977869033813477,837.4176025390625,9.153569221496582,9.153568267822266,9.153568267822266,60.0799560546875,25.66980743408203,619.2778930664062,14.20650577545166,14.20650577545166,14.20650577545166,6.272819519042969,5.3869948387146,12.84157943725586,206.69699873336654,67.33013916015625,4064.0679874420166
45,1,inf,0.8425000309944153,0.812999963760376,9.085453987121582,9.085454940795898,9.085454940795898,101.02409362792969,83.01543426513672,383.033935546875,8.63662338256836,8.63662338256836,8.63662338256836,74.53189849853516,34.04193878173828,414.4634094238281,10.958273887634277,10.958272933959961,10.958272933959961,77.12671661376953,33.94239807128906,719.2023315429688,7.4403395652771,7.4403395652771,7.4403395652771,87.61847686767578,35.539615631103516,898.167724609375,6.451444149017334,6.451444149017334,6.451444149017334,69.24897003173828,23.364234924316406,788.18994140625,6.622503757476807,6.622503280639648,6.622503280639648,47.64572525024414,18.140235900878906,537.2268676757812,7.6241350173950195,7.624134540557861,7.624134540557861,4.794126510620117,4.028834342956543,10.088419914245605,192.22669743011136,83.01543426513672,3807.19140291214
