step,epoch,loss,train_acc,val_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear
0,0,4620.0,0.11050000786781311,0.12229999899864197,2.420792579650879,2.4207923412323,2.4207923412323,149.766845703125,72.95953369140625,840.7808837890625,1.7174969911575317,1.7174967527389526,1.7174967527389526,113.89351654052734,65.84040069580078,672.416748046875,1.8021174669265747,1.8021175861358643,1.8021175861358643,259.0202941894531,140.234375,2200.857421875,1.0649040937423706,1.0649040937423706,1.0649040937423706,191.2548370361328,122.27509307861328,1573.259033203125,0.9655149579048157,0.9655149579048157,0.9655149579048157,154.8745574951172,95.09198760986328,1378.817138671875,2.5822033882141113,2.5822033882141113,2.5822033882141113,142.39341735839844,90.05341339111328,1089.928955078125,4.4215593338012695,4.421558856964111,4.421558856964111,17.107254028320312,16.457155227661133,27.87921142578125,428.5636248462726,140.234375,7798.913980066776
10,0,3888.0,0.4035000205039978,0.38449999690055847,8.635279655456543,8.635279655456543,8.635279655456543,303.0369567871094,201.13525390625,1495.2288818359375,4.417535781860352,4.417535305023193,4.417535305023193,286.6893005371094,198.0153045654297,1485.0787353515625,4.195413589477539,4.195413112640381,4.195413112640381,414.5374755859375,225.5559844970703,3366.36669921875,1.6364097595214844,1.6364096403121948,1.6364096403121948,312.18218994140625,153.37356567382812,2714.138916015625,1.4564707279205322,1.4564708471298218,1.4564708471298218,225.6613006591797,103.05156707763672,2148.3046875,4.350253582000732,4.350252628326416,4.350252628326416,226.57504272460938,130.52638244628906,1811.58984375,5.4322028160095215,5.432202339172363,5.432202339172363,4.868383884429932,3.231896162033081,12.773763656616211,738.7618569034029,225.5559844970703,13063.605090856552
20,0,3530.0,0.5,0.4439999759197235,10.413419723510742,10.413419723510742,10.413419723510742,549.59033203125,382.92816162109375,2567.197998046875,5.554335117340088,5.554335117340088,5.554335117340088,526.914306640625,382.48822021484375,2643.965087890625,9.605830192565918,9.605830192565918,9.605830192565918,771.09765625,441.56640625,5804.458984375,3.738560676574707,3.738560438156128,3.738560438156128,610.915283203125,330.7234802246094,4891.31005859375,2.7690060138702393,2.76900577545166,2.76900577545166,440.03631591796875,216.79852294921875,3824.123046875,6.584282398223877,6.584281921386719,6.584281921386719,453.17816162109375,275.0390319824219,3257.7060546875,24.545042037963867,24.5450439453125,24.5450439453125,8.915234565734863,7.988935947418213,18.048810958862305,1395.5207641775478,441.56640625,23070.020518541336
30,1,3416.0,0.5330000519752502,0.5031999945640564,12.2510986328125,12.251099586486816,12.251099586486816,543.1307373046875,315.54925537109375,2728.14892578125,6.958746910095215,6.958745956420898,6.958745956420898,550.1088256835938,311.0798034667969,2966.872314453125,8.547544479370117,8.5475435256958,8.5475435256958,832.71630859375,385.8768615722656,6483.01708984375,5.649666786193848,5.6496663093566895,5.6496663093566895,754.8911743164062,358.068115234375,5991.2724609375,5.637969493865967,5.637969017028809,5.637969017028809,570.5935668945312,263.2014465332031,4804.94921875,9.815765380859375,9.815764427185059,9.815764427185059,661.0671997070312,452.5116882324219,4027.24951171875,37.027164459228516,37.02716064453125,37.02716064453125,12.18982982635498,11.594910621643066,21.30396842956543,1620.31661915369,452.5116882324219,27108.701439380646
40,1,3284.0,0.5730000138282776,0.5715999603271484,9.528918266296387,9.528919219970703,9.528919219970703,600.8012084960938,393.92633056640625,2924.9482421875,4.990579605102539,4.990580081939697,4.990580081939697,626.6602172851562,426.13983154296875,3189.988037109375,7.411818027496338,7.41181755065918,7.41181755065918,903.341796875,533.3633422851562,6924.4345703125,3.889540910720825,3.889540672302246,3.889540672302246,882.340576171875,486.6934814453125,6842.953125,4.377452850341797,4.3774518966674805,4.3774518966674805,701.5252685546875,358.3313903808594,5726.18603515625,8.14936351776123,8.14936351776123,8.14936351776123,837.038330078125,659.544921875,4594.42578125,21.767913818359375,21.76791000366211,21.76791000366211,11.307245254516602,10.522045135498047,20.437419891357422,1881.983082460934,659.544921875,30283.488793849945
50,2,3196.0,0.597000002861023,0.5874999761581421,15.18415641784668,15.18415641784668,15.18415641784668,640.331298828125,431.1712646484375,2934.703857421875,9.870376586914062,9.87037467956543,9.87037467956543,637.4066162109375,421.4571228027344,3214.13671875,9.297720909118652,9.297720909118652,9.297720909118652,894.6358642578125,487.21954345703125,6838.1396484375,4.002200603485107,4.002200603485107,4.002200603485107,892.381103515625,487.7734375,7051.09423828125,5.280841827392578,5.280841827392578,5.280841827392578,737.0965576171875,360.1925048828125,6090.84716796875,13.629983901977539,13.629982948303223,13.629982948303223,665.216552734375,412.531005859375,4504.2763671875,27.738744735717773,27.738744735717773,27.738744735717773,10.875094413757324,9.988886833190918,20.69964599609375,1844.0132713765513,487.7734375,30738.9016661644
60,2,3112.0,0.6455000042915344,0.607699990272522,10.573269844055176,10.573267936706543,10.573267936706543,605.4376220703125,387.7724609375,2920.798828125,7.362147331237793,7.362147331237793,7.362147331237793,618.9877319335938,407.1263427734375,3160.810546875,10.219256401062012,10.219255447387695,10.219255447387695,912.4194946289062,567.2078857421875,6842.09033203125,3.681135416030884,3.681135416030884,3.681135416030884,901.4507446289062,539.3609008789062,7103.09375,5.20897912979126,5.208978652954102,5.208978652954102,773.0953369140625,420.4875793457031,6277.259765625,10.148052215576172,10.148052215576172,10.148052215576172,630.0400390625,443.43634033203125,4245.96044921875,14.883064270019531,14.883063316345215,14.883063316345215,7.45926570892334,6.3785576820373535,15.704874992370605,1841.2336620689027,567.2078857421875,30627.79444718361
70,2,3010.0,0.6775000095367432,0.6608999967575073,6.839392185211182,6.83939266204834,6.83939266204834,656.883056640625,442.9309997558594,2991.5078125,8.626636505126953,8.626635551452637,8.626635551452637,625.2362670898438,373.92303466796875,3209.404296875,7.643878936767578,7.643879413604736,7.643879413604736,859.6839599609375,411.7313232421875,6773.7939453125,4.320371150970459,4.320371150970459,4.320371150970459,880.1936645507812,406.3402404785156,7204.919921875,11.887476921081543,11.887474060058594,11.887474060058594,885.1360473632812,477.1442565917969,6799.16015625,9.273404121398926,9.273404121398926,9.273404121398926,605.430419921875,320.9909362792969,4503.7763671875,20.14133071899414,20.141328811645508,20.141328811645508,7.659463405609131,6.700881481170654,15.842035293579102,1867.381828382555,477.1442565917969,31567.13702106476
80,3,2996.0,0.6695000529289246,0.6703999638557434,,,,753.3048095703125,586.4408569335938,3136.176513671875,9.18557071685791,9.185571670532227,9.185571670532227,676.7413940429688,484.51849365234375,3331.561767578125,8.662873268127441,8.662874221801758,8.662874221801758,941.7102661132812,564.5733032226562,7120.71826171875,3.1791787147521973,3.1791789531707764,3.1791789531707764,949.399658203125,515.4458618164062,7665.3291015625,5.968493938446045,5.968493938446045,5.968493938446045,865.295166015625,387.6626892089844,7041.3818359375,12.70059585571289,12.70059585571289,12.70059585571289,649.9564208984375,352.299560546875,4661.658203125,21.801668167114258,21.801668167114258,21.801668167114258,8.753290176391602,7.688389778137207,17.926000595092773,1996.427421262335,586.4408569335938,33036.25006699562
90,3,2884.0,0.7150000333786011,0.7017999887466431,,,,724.9425048828125,533.4743041992188,3097.79931640625,9.385429382324219,9.385430335998535,9.385430335998535,610.218017578125,390.1587219238281,3115.5380859375,6.811662197113037,6.811661720275879,6.811661720275879,808.880615234375,420.1184387207031,6611.5908203125,3.8422179222106934,3.842217206954956,3.842217206954956,851.1902465820312,413.72589111328125,7202.8671875,3.972050666809082,3.972050428390503,3.972050428390503,864.83251953125,450.36688232421875,6801.6806640625,8.807005882263184,8.807004928588867,8.807004928588867,558.67236328125,305.277587890625,4295.50048828125,8.327369689941406,8.327369689941406,8.327369689941406,4.027431488037109,2.947957992553711,10.165133476257324,1826.7727280011284,533.4743041992188,31176.287430286407
