step,epoch,loss,train_acc,val_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear
0,0,4620.0,0.11050000786781311,0.12229999899864197,2.420792579650879,2.4207923412323,2.4207923412323,149.766845703125,72.95953369140625,840.7808837890625,1.7174969911575317,1.7174967527389526,1.7174967527389526,113.89351654052734,65.84040069580078,672.416748046875,1.8021174669265747,1.8021175861358643,1.8021175861358643,259.0202941894531,140.234375,2200.857421875,1.0649040937423706,1.0649040937423706,1.0649040937423706,191.2548370361328,122.27509307861328,1573.259033203125,0.9655149579048157,0.9655149579048157,0.9655149579048157,154.8745574951172,95.09198760986328,1378.817138671875,2.5822033882141113,2.5822033882141113,2.5822033882141113,142.39341735839844,90.05341339111328,1089.928955078125,4.4215593338012695,4.421558856964111,4.421558856964111,17.107254028320312,16.457155227661133,27.87921142578125,428.5636248462726,140.234375,7798.913980066776
10,0,3670.0,0.4245000183582306,0.4034000039100647,7.350692272186279,7.3506927490234375,7.3506927490234375,287.68115234375,256.1068420410156,855.2515869140625,13.31494140625,13.314940452575684,13.314940452575684,211.88043212890625,144.6623077392578,755.8174438476562,11.733209609985352,11.733207702636719,11.733207702636719,227.77745056152344,144.72415161132812,1106.7178955078125,6.189392566680908,6.189392566680908,6.189392566680908,220.74810791015625,146.3071746826172,1115.6258544921875,4.762503147125244,4.7625041007995605,4.7625041007995605,196.7362823486328,124.86428833007812,1078.4771728515625,4.565708637237549,4.565708637237549,4.565708637237549,169.76268005371094,103.80105590820312,1096.729736328125,8.231671333312988,8.231671333312988,8.231671333312988,6.158505916595459,4.609107971191406,14.732229232788086,544.3777192940948,256.1068420410156,6079.500036716461
20,0,3224.0,0.5735000371932983,0.5015000104904175,16.514509201049805,16.514511108398438,16.514511108398438,153.90838623046875,117.64109802246094,589.1276245117188,11.833695411682129,11.833694458007812,11.833694458007812,113.68498992919922,64.79407501220703,511.6083679199219,10.521133422851562,10.521134376525879,10.521134376525879,135.8208770751953,73.2272720336914,833.3214721679688,7.294662952423096,7.294662952423096,7.294662952423096,143.19097900390625,83.89546966552734,851.3329467773438,5.186437129974365,5.186437129974365,5.186437129974365,128.2755584716797,79.73859405517578,823.913818359375,6.9591898918151855,6.959189414978027,6.959189414978027,146.0064697265625,97.65087890625,972.43408203125,16.832380294799805,16.832380294799805,16.832380294799805,7.210317134857178,6.02151346206665,14.78033447265625,338.1166401983834,117.64109802246094,4671.660655975342
30,1,3058.0,0.6350000500679016,0.5672000050544739,16.89558982849121,16.895591735839844,16.895591735839844,179.91554260253906,146.71604919433594,671.3837280273438,18.537864685058594,18.53786277770996,18.53786277770996,146.32730102539062,88.3365707397461,590.4478759765625,15.935151100158691,15.935151100158691,15.935151100158691,159.95181274414062,104.83454132080078,935.1732177734375,9.832529067993164,9.832529067993164,9.832529067993164,154.4073028564453,89.0872573852539,936.7760620117188,8.481280326843262,8.481280326843262,8.481280326843262,131.31451416015625,78.79053497314453,864.3770751953125,6.421513080596924,6.421513080596924,6.421513080596924,118.6587905883789,67.38487243652344,871.6839599609375,10.945958137512207,10.945958137512207,10.945958137512207,6.644323825836182,5.491277694702148,14.765155792236328,368.49387962348044,146.71604919433594,4971.656960964203
40,1,2818.0,0.7130000591278076,0.680899977684021,14.2028169631958,14.202815055847168,14.202815055847168,115.03768157958984,87.1378402709961,460.5479736328125,12.503591537475586,12.503592491149902,12.503592491149902,94.78694152832031,54.689247131347656,471.914794921875,11.861525535583496,11.861526489257812,11.861526489257812,110.7094955444336,53.69611358642578,863.2318115234375,9.247696876525879,9.247696876525879,9.247696876525879,118.48160552978516,54.02082061767578,961.49169921875,7.681267261505127,7.681266784667969,7.681266784667969,99.57868194580078,49.98646545410156,868.4471435546875,6.482330799102783,6.482330322265625,6.482330322265625,80.65462493896484,39.675289154052734,758.3094482421875,8.407766342163086,8.407766342163086,8.407766342163086,3.9254260063171387,2.9993462562561035,9.280960083007812,256.3302471857965,87.1378402709961,4463.610825538635
50,2,2704.0,0.7400000095367432,0.7224000096321106,6.3200554847717285,6.32005500793457,6.32005500793457,91.43427276611328,55.95130920410156,429.50665283203125,11.116690635681152,11.116689682006836,11.116689682006836,108.11250305175781,64.32662963867188,523.5792236328125,16.047473907470703,16.047475814819336,16.047475814819336,131.1776885986328,70.93108367919922,1009.9254760742188,12.315650939941406,12.315650939941406,12.315650939941406,147.87173461914062,76.53223419189453,1179.64501953125,11.995482444763184,11.9954833984375,11.9954833984375,122.02899932861328,57.94566345214844,1059.9967041015625,8.920858383178711,8.920858383178711,8.920858383178711,90.98756408691406,42.674903869628906,837.9801025390625,11.847565650939941,11.847565650939941,11.847565650939941,5.756144046783447,4.601583003997803,12.526647567749023,288.5510021500051,76.53223419189453,5131.723605155945
60,2,2604.0,0.7710000276565552,0.7285999655723572,10.140434265136719,10.140433311462402,10.140433311462402,127.00572204589844,95.08103942871094,512.8180541992188,15.25098991394043,15.250988960266113,15.250988960266113,105.49198913574219,52.37544250488281,544.68701171875,13.660545349121094,13.660544395446777,13.660544395446777,133.3435516357422,58.725826263427734,1094.209716796875,11.809746742248535,11.809746742248535,11.809746742248535,148.70664978027344,56.510868072509766,1297.94140625,10.481945991516113,10.481945037841797,10.481945037841797,120.24983978271484,49.08429718017578,1141.2274169921875,8.43409538269043,8.43409538269043,8.43409538269043,85.98625946044922,34.95155715942383,820.8814697265625,10.181662559509277,10.181663513183594,10.181663513183594,5.398507118225098,4.464570045471191,11.762431144714355,299.9702676029031,95.08103942871094,5503.486924171448
70,2,inf,0.8110000491142273,0.7759000062942505,9.67847728729248,9.678476333618164,9.678476333618164,81.6534652709961,43.8527717590332,409.00775146484375,11.861444473266602,11.861444473266602,11.861444473266602,94.79943084716797,49.22163009643555,510.4084777832031,12.425413131713867,12.42541217803955,12.42541217803955,130.2509307861328,56.31968307495117,1126.4473876953125,10.513921737670898,10.513921737670898,10.513921737670898,143.5930938720703,58.788665771484375,1370.572021484375,9.132781982421875,9.132781982421875,9.132781982421875,115.55469512939453,45.91789627075195,1172.8782958984375,9.52695369720459,9.52695369720459,9.52695369720459,72.01304626464844,28.384279251098633,743.93896484375,8.176950454711914,8.17695140838623,8.17695140838623,4.144965171813965,3.288559913635254,9.38958740234375,269.32282208303803,58.788665771484375,5413.9584283828735
80,3,inf,0.8245000243186951,0.8179000020027161,,,,74.55664825439453,43.60874938964844,373.47210693359375,9.973575592041016,9.973575592041016,9.973575592041016,84.62388610839844,38.33517837524414,477.48876953125,10.294647216796875,10.294646263122559,10.294646263122559,121.59615325927734,49.07738494873047,1092.452392578125,9.701788902282715,9.701788902282715,9.701788902282715,146.58290100097656,53.71702575683594,1399.5244140625,8.172111511230469,8.172111511230469,8.172111511230469,120.22637176513672,47.52699279785156,1221.0008544921875,10.209648132324219,10.209649085998535,10.209649085998535,79.98873138427734,35.59172439575195,776.3897705078125,10.110762596130371,10.110763549804688,10.110763549804688,5.402509689331055,4.226642608642578,11.991442680358887,265.4178903176589,53.71702575683594,5410.782285690308
90,3,inf,0.862500011920929,0.8251999616622925,,,,76.53275299072266,46.648460388183594,358.45355224609375,11.48345947265625,11.48345947265625,11.48345947265625,76.34046936035156,34.37783432006836,436.3727722167969,11.460223197937012,11.460224151611328,11.460224151611328,104.0772705078125,40.08700180053711,992.535400390625,8.699631690979004,8.699631690979004,8.699631690979004,122.68989562988281,42.92345428466797,1278.7357177734375,8.334044456481934,8.334044456481934,8.334044456481934,97.14806365966797,31.396831512451172,1079.61279296875,6.90568733215332,6.905686855316162,6.905686855316162,57.01839065551758,19.622299194335938,623.80615234375,6.582698345184326,6.582698822021484,6.582698822021484,3.277007579803467,2.5128064155578613,7.647026538848877,225.3196997019413,46.648460388183594,4830.629159927368
