step,epoch,loss,train_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear,val_acc
0,0,4620.0,0.11050000786781311,2.420792579650879,2.4207923412323,2.4207923412323,149.766845703125,72.95953369140625,840.7808837890625,1.7174969911575317,1.7174967527389526,1.7174967527389526,113.89351654052734,65.84040069580078,672.416748046875,1.8021174669265747,1.8021175861358643,1.8021175861358643,259.0202941894531,140.234375,2200.857421875,1.0649040937423706,1.0649040937423706,1.0649040937423706,191.2548370361328,122.27509307861328,1573.259033203125,0.9655149579048157,0.9655149579048157,0.9655149579048157,154.8745574951172,95.09198760986328,1378.817138671875,2.5822033882141113,2.5822033882141113,2.5822033882141113,142.39341735839844,90.05341339111328,1089.928955078125,4.4215593338012695,4.421558856964111,4.421558856964111,17.107254028320312,16.457155227661133,27.87921142578125,428.5636248462726,140.234375,7798.913980066776,0.28679999709129333
20,0,3764.0,0.4205000102519989,13.801236152648926,13.801234245300293,13.801234245300293,198.935546875,179.00100708007812,532.8084106445312,14.667421340942383,14.66741943359375,14.66741943359375,100.40204620361328,79.74768829345703,273.81964111328125,8.239851951599121,8.239850997924805,8.239850997924805,55.20641326904297,39.96031951904297,190.92698669433594,3.246894121170044,3.246894359588623,3.246894359588623,62.97050476074219,42.86177444458008,206.2250518798828,2.606558322906494,2.606557846069336,2.606557846069336,56.870357513427734,35.7733268737793,227.64588928222656,3.214308261871338,3.214308023452759,3.214308023452759,78.5975570678711,42.831459045410156,410.14007568359375,6.667301654815674,6.667302131652832,6.667302131652832,4.705801010131836,3.165684461593628,11.243690490722656,258.1637794445103,179.00100708007812,1905.2533128261566,0.28679999709129333
40,1,3580.0,0.46000000834465027,17.820924758911133,17.820919036865234,17.820919036865234,193.81454467773438,130.63259887695312,696.8724975585938,19.6698055267334,19.669803619384766,19.669803619384766,137.7151641845703,90.40313720703125,437.81707763671875,15.606005668640137,15.606006622314453,15.606006622314453,100.89344024658203,70.4435806274414,361.0887145996094,7.587185382843018,7.587185382843018,7.587185382843018,104.1230697631836,68.27003479003906,334.98785400390625,4.667963027954102,4.667963027954102,4.667963027954102,84.57044219970703,50.930606842041016,320.3569641113281,3.3093347549438477,3.3093345165252686,3.3093345165252686,110.946533203125,64.54682922363281,542.5530395507812,12.995844841003418,12.995845794677734,12.995845794677734,7.968078136444092,5.8181047439575195,17.289072036743164,313.50065434018194,130.63259887695312,2792.6222774982452,0.305899977684021
60,2,3394.0,0.5170000195503235,20.12588882446289,20.12588882446289,20.12588882446289,188.50132751464844,144.8064422607422,699.779541015625,22.347143173217773,22.347145080566406,22.347145080566406,126.51353454589844,83.90090942382812,449.513916015625,14.131447792053223,14.131448745727539,14.131448745727539,75.81060028076172,51.00608444213867,321.5000305175781,6.738790512084961,6.738790035247803,6.738790035247803,77.84571075439453,48.12127685546875,290.5640563964844,3.78145694732666,3.781456470489502,3.781456470489502,59.82973861694336,32.48292541503906,278.33209228515625,3.9737346172332764,3.9737346172332764,3.9737346172332764,78.99884796142578,37.87359619140625,451.2430419921875,7.120105266571045,7.120104789733887,7.120104789733887,5.028317451477051,3.77258563041687,11.878931045532227,272.80334946654943,144.8064422607422,2581.03017783165,0.3596999943256378
80,3,3316.0,0.5440000295639038,,,,221.9336395263672,177.6943359375,788.9560546875,14.752237319946289,14.752236366271973,14.752236366271973,180.29310607910156,118.65250396728516,617.6179809570312,16.34959602355957,16.349594116210938,16.349594116210938,128.85894775390625,87.76988983154297,502.21783447265625,8.416783332824707,8.416784286499023,8.416784286499023,122.5313949584961,79.1188735961914,424.2768859863281,7.418154716491699,7.418154716491699,7.418154716491699,104.14212799072266,71.6386947631836,424.082763671875,8.366035461425781,8.366035461425781,8.366035461425781,126.87857818603516,72.2387466430664,637.8286743164062,15.333910942077637,15.33390998840332,15.33390998840332,9.579733848571777,6.537716388702393,20.975318908691406,375.9390532740812,177.6943359375,3486.592227935791,0.3805999755859375
100,4,3120.0,0.6140000224113464,,,,182.27464294433594,142.9466094970703,682.3131103515625,23.225997924804688,23.225997924804688,23.225997924804688,161.87660217285156,112.48055267333984,569.2166748046875,15.860581398010254,15.860581398010254,15.860581398010254,103.76922607421875,66.47610473632812,456.5267028808594,8.911881446838379,8.911881446838379,8.911881446838379,101.97567749023438,67.15270233154297,417.3225402832031,7.236256122589111,7.236256122589111,7.236256122589111,98.25965118408203,62.57188034057617,454.701904296875,7.9268107414245605,7.926810264587402,7.926810264587402,115.21759796142578,64.69298553466797,596.4651489257812,12.206025123596191,12.206025123596191,12.206025123596191,6.9412522315979,4.684774875640869,16.45049285888672,323.5861820563985,142.9466094970703,3268.3641266822815,0.44119998812675476
120,4,3120.0,0.6000000238418579,,,,239.33956909179688,185.41770935058594,845.39453125,22.06262969970703,22.062631607055664,22.062631607055664,175.68170166015625,119.4890365600586,663.5186767578125,20.938385009765625,20.938385009765625,20.938385009765625,110.81331634521484,63.59376525878906,542.9405517578125,12.94925308227539,12.94925308227539,12.94925308227539,111.45497131347656,64.00498962402344,496.1366882324219,7.511902809143066,7.511902332305908,7.511902332305908,102.14175415039062,67.7862777709961,512.9440307617188,8.780707359313965,8.780707359313965,8.780707359313965,116.29229736328125,73.78924560546875,625.1758422851562,12.289009094238281,12.289008140563965,12.289008140563965,6.774332523345947,4.497084617614746,15.35227108001709,371.79218293394473,185.41770935058594,3785.9944796562195,0.44119998812675476
140,5,3028.0,0.64000004529953,,,,214.76675415039062,156.88922119140625,829.5753784179688,21.960227966308594,21.96023178100586,21.96023178100586,168.9140625,98.68220520019531,706.8966064453125,18.648271560668945,18.648271560668945,18.648271560668945,100.49300384521484,53.2166633605957,538.372314453125,11.497255325317383,11.497254371643066,11.497254371643066,107.86203002929688,64.8159408569336,513.3178100585938,8.762226104736328,8.762226104736328,8.762226104736328,96.36775207519531,51.44950485229492,530.7235107421875,8.1058988571167,8.1058988571167,8.1058988571167,96.62577056884766,49.472442626953125,578.711181640625,10.298863410949707,10.29886245727539,10.29886245727539,5.52120304107666,4.059996604919434,12.194331169128418,340.96083751391774,156.88922119140625,3789.063878059387,0.33159998059272766
160,6,2884.0,0.687000036239624,,,,254.83592224121094,226.0345458984375,838.3302001953125,17.89818572998047,17.89818572998047,17.89818572998047,165.12425231933594,92.72413635253906,710.9158935546875,21.858455657958984,21.858455657958984,21.858455657958984,112.75341033935547,70.99658203125,584.7240600585938,12.177544593811035,12.177545547485352,12.177545547485352,107.68931579589844,60.850364685058594,538.3469848632812,10.38465690612793,10.384655952453613,10.384655952453613,101.02198791503906,59.434974670410156,576.167236328125,6.710850715637207,6.710850238800049,6.710850238800049,93.65028381347656,45.221981048583984,578.8987426757812,7.6444315910339355,7.644432067871094,7.644432067871094,4.934986114501953,3.389342784881592,12.024051666259766,369.69663471032436,226.0345458984375,3916.0812945365906,0.5148999691009521
180,7,2918.0,0.6720000505447388,,,,255.51327514648438,204.8967742919922,955.6109008789062,27.608051300048828,27.608051300048828,27.608051300048828,181.959228515625,104.6233901977539,765.15771484375,17.146472930908203,17.146472930908203,17.146472930908203,106.42607116699219,58.60698699951172,608.7633056640625,11.896227836608887,11.896228790283203,11.896228790283203,113.64869689941406,66.63993072509766,595.3890991210938,9.63827133178711,9.63827133178711,9.63827133178711,104.5031509399414,65.95250701904297,620.0980224609375,8.553524017333984,8.553524017333984,8.553524017333984,98.10060119628906,51.446434020996094,596.9672241210938,9.499046325683594,9.499045372009277,9.499045372009277,4.978781223297119,3.677490234375,11.172327995300293,380.3448060888367,204.8967742919922,4237.500188827515,0.5586999654769897
200,8,2774.0,0.7130000591278076,,,,247.94119262695312,204.40721130371094,908.5780639648438,21.54236602783203,21.54236602783203,21.54236602783203,183.45533752441406,104.12755584716797,820.5536499023438,21.7764892578125,21.776487350463867,21.776487350463867,104.64906311035156,60.65467071533203,650.7342529296875,9.427969932556152,9.427968978881836,9.427968978881836,101.34142303466797,55.995243072509766,598.707763671875,6.605118274688721,6.605118274688721,6.605118274688721,85.7423095703125,39.46438980102539,596.4892578125,5.955093860626221,5.955093860626221,5.955093860626221,76.87884521484375,35.65470886230469,525.3329467773438,4.645647048950195,4.645646572113037,4.645646572113037,3.15822434425354,2.084421157836914,7.907139778137207,361.5966393309029,204.40721130371094,4178.255755901337,0.4537999927997589
220,8,2756.0,0.7170000076293945,,,,192.86544799804688,138.25010681152344,841.20361328125,25.904579162597656,25.904579162597656,25.904579162597656,169.72525024414062,93.81089782714844,790.4920654296875,16.301523208618164,16.30152702331543,16.30152702331543,103.60660552978516,50.113250732421875,673.9075317382812,12.231400489807129,12.231400489807129,12.231400489807129,106.16849517822266,53.56230163574219,653.3641357421875,10.632856369018555,10.632855415344238,10.632855415344238,99.53245544433594,54.45500564575195,691.6954345703125,10.798928260803223,10.798928260803223,10.798928260803223,88.50814819335938,44.070777893066406,588.631103515625,9.822542190551758,9.822542190551758,9.822542190551758,4.870616912841797,4.026844501495361,10.499492645263672,327.39348715563983,138.25010681152344,4335.485209465027,0.4537999927997589
240,9,2714.0,0.7365000247955322,,,,207.95643615722656,156.8880157470703,872.4830322265625,16.439210891723633,16.439210891723633,16.439210891723633,202.7330322265625,127.33732604980469,893.4027709960938,21.58880615234375,21.588804244995117,21.588804244995117,126.95555877685547,71.38903045654297,788.9688720703125,14.298755645751953,14.298755645751953,14.298755645751953,132.10116577148438,79.21348571777344,750.9575805664062,9.718935012817383,9.7189359664917,9.7189359664917,110.8048324584961,60.19163131713867,766.1175537109375,9.283477783203125,9.283477783203125,9.283477783203125,88.63692474365234,53.75908279418945,571.7219848632812,6.969620704650879,6.969620227813721,6.969620227813721,3.873082160949707,3.2842047214508057,8.226605415344238,373.14099825167546,156.8880157470703,4730.177204608917,0.6324999928474426
260,10,2648.0,0.7605000138282776,,,,205.13328552246094,162.63497924804688,844.7116088867188,14.17600154876709,14.176002502441406,14.176002502441406,176.7451934814453,96.42982482910156,888.89892578125,13.11208438873291,13.112083435058594,13.112083435058594,112.22434997558594,63.572139739990234,800.9159545898438,11.268967628479004,11.26896858215332,11.26896858215332,118.8133544921875,65.58018493652344,788.3450317382812,8.14412784576416,8.144126892089844,8.144126892089844,108.50859832763672,58.28959274291992,812.521484375,9.180469512939453,9.180468559265137,9.180468559265137,81.3603286743164,41.659393310546875,571.3501586914062,7.401042461395264,7.401042461395264,7.401042461395264,3.9389405250549316,3.2200987339019775,8.164809226989746,345.1721876156077,162.63497924804688,4778.190665721893,0.7057999968528748
280,11,2628.0,0.7615000605583191,,,,201.45758056640625,137.74700927734375,910.99755859375,16.57244873046875,16.572450637817383,16.572450637817383,183.40164184570312,90.201416015625,945.2529296875,18.815547943115234,18.815547943115234,18.815547943115234,120.27940368652344,62.18507766723633,872.281494140625,11.371329307556152,11.371329307556152,11.371329307556152,122.28072357177734,57.27175521850586,835.1066284179688,8.901065826416016,8.9010648727417,8.9010648727417,109.8343734741211,46.418148040771484,852.7554321289062,10.65758991241455,10.657588958740234,10.657588958740234,86.74160766601562,44.48527908325195,607.6761474609375,7.535462856292725,7.535463333129883,7.535463333129883,4.406818866729736,3.623382329940796,9.257420539855957,352.4992480628081,137.74700927734375,5107.181056022644,0.6974999904632568
300,12,2582.0,0.7850000262260437,,,,221.7816925048828,171.18719482421875,916.6922607421875,21.24384117126465,21.24384117126465,21.24384117126465,201.59710693359375,125.18928527832031,976.8571166992188,15.571503639221191,15.571502685546875,15.571502685546875,124.12075805664062,61.03334426879883,910.7989501953125,11.347145080566406,11.347145080566406,11.347145080566406,129.41812133789062,60.982295989990234,904.326904296875,9.757586479187012,9.757586479187012,9.757586479187012,124.66451263427734,60.905029296875,925.2897338867188,7.66431999206543,7.6643195152282715,7.6643195152282715,81.64041900634766,40.41365051269531,569.29736328125,3.829152822494507,3.829152822494507,3.829152822494507,2.59745454788208,1.5841223001480103,6.709430694580078,381.0351896904861,171.18719482421875,5279.38530755043,0.769599974155426
