step,epoch,loss,train_acc,val_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear
0,0,4620.0,0.11050000786781311,0.12229999899864197,2.420792579650879,2.4207923412323,2.4207923412323,149.766845703125,72.95953369140625,840.7808837890625,1.7174969911575317,1.7174967527389526,1.7174967527389526,113.89351654052734,65.84040069580078,672.416748046875,1.8021174669265747,1.8021175861358643,1.8021175861358643,259.0202941894531,140.234375,2200.857421875,1.0649040937423706,1.0649040937423706,1.0649040937423706,191.2548370361328,122.27509307861328,1573.259033203125,0.9655149579048157,0.9655149579048157,0.9655149579048157,154.8745574951172,95.09198760986328,1378.817138671875,2.5822033882141113,2.5822033882141113,2.5822033882141113,142.39341735839844,90.05341339111328,1089.928955078125,4.4215593338012695,4.421558856964111,4.421558856964111,17.107254028320312,16.457155227661133,27.87921142578125,428.5636248462726,140.234375,7798.913980066776
10,0,4052.0,0.3375000059604645,0.2678000032901764,11.285772323608398,11.285773277282715,11.285773277282715,303.78411865234375,227.9785614013672,1240.524169921875,9.64353084564209,9.643531799316406,9.643531799316406,256.465576171875,182.46255493164062,1123.103515625,7.930853366851807,7.930853843688965,7.930853843688965,321.12774658203125,176.842041015625,2359.835693359375,4.416503429412842,4.416504383087158,4.416504383087158,264.777099609375,150.53834533691406,1935.821044921875,2.794891119003296,2.794890880584717,2.794890880584717,226.3260040283203,135.95870971679688,1670.0869140625,4.8992109298706055,4.8992109298706055,4.8992109298706055,227.78408813476562,148.3665771484375,1477.60791015625,10.387657165527344,10.387656211853027,10.387656211853027,4.949814319610596,3.1158885955810547,12.700065612792969,659.4432223966234,227.9785614013672,9871.037734985352
20,0,3740.0,0.4335000216960907,0.3685999810695648,7.83872652053833,7.83872652053833,7.83872652053833,283.0347900390625,128.31800842285156,1517.7979736328125,6.210342884063721,6.210342884063721,6.210342884063721,275.9639587402344,141.14736938476562,1513.83984375,8.369709968566895,8.369709968566895,8.369709968566895,413.3934631347656,196.10028076171875,3562.171875,4.973580837249756,4.973581314086914,4.973581314086914,346.8772888183594,180.64671325683594,3000.162353515625,3.582463502883911,3.582463264465332,3.582463264465332,287.8507385253906,145.40623474121094,2535.45458984375,5.403623580932617,5.403624057769775,5.403624057769775,267.5579528808594,149.71463012695312,2186.425537109375,9.722953796386719,9.722952842712402,9.722952842712402,6.159325122833252,4.558244228363037,14.642974853515625,776.0782321573842,196.10028076171875,14376.596548557281
30,1,3708.0,0.4280000329017639,0.3919000029563904,17.371219635009766,17.371219635009766,17.371219635009766,402.407470703125,243.57699584960938,1997.7335205078125,8.898770332336426,8.89876937866211,8.89876937866211,364.9713134765625,208.28424072265625,1902.862060546875,15.696368217468262,15.696366310119629,15.696366310119629,497.7459716796875,233.60787963867188,4324.794921875,6.726302623748779,6.726302623748779,6.726302623748779,403.3960266113281,200.4775390625,3595.5810546875,5.918751239776611,5.918750762939453,5.918750762939453,337.1576843261719,174.46832275390625,3008.47021484375,5.312675476074219,5.312675476074219,5.312675476074219,303.836669921875,171.2122802734375,2508.28662109375,16.624780654907227,16.624780654907227,16.624780654907227,10.967463493347168,10.169059753417969,20.609647750854492,955.3741445468117,243.57699584960938,17434.886906147003
40,1,3622.0,0.45650002360343933,0.31369999051094055,15.373311996459961,15.373311042785645,15.373311042785645,465.5029296875,324.5430603027344,2123.3974609375,13.478836059570312,13.478836059570312,13.478836059570312,455.3175964355469,278.2601013183594,2235.3134765625,12.565225601196289,12.565226554870605,12.565226554870605,636.2963256835938,339.71063232421875,5206.0126953125,6.580653190612793,6.580653190612793,6.580653190612793,494.21112060546875,270.6195983886719,4406.22119140625,6.907308101654053,6.907308101654053,6.907308101654053,375.0367431640625,191.28053283691406,3440.5771484375,5.819822788238525,5.819822311401367,5.819822311401367,307.2210693359375,173.75784301757812,2700.63134765625,15.823619842529297,15.823619842529297,15.823619842529297,9.308051109313965,7.340284824371338,20.59185028076172,1144.2027341271414,339.71063232421875,20209.293947696686
50,2,3508.0,0.5015000104904175,0.36569997668266296,9.81309700012207,9.813096046447754,9.813096046447754,430.3559875488281,230.67138671875,2267.6923828125,10.125272750854492,10.125273704528809,10.125273704528809,428.4489440917969,252.6280517578125,2309.913818359375,9.040958404541016,9.040959358215332,9.040959358215332,631.8907470703125,318.09796142578125,5533.93408203125,8.561200141906738,8.561200141906738,8.561200141906738,566.00439453125,309.0478820800781,5054.0234375,9.02751350402832,9.02751350402832,9.02751350402832,453.842529296875,250.63885498046875,4043.52001953125,6.640753269195557,6.640753269195557,6.640753269195557,324.3381652832031,180.53121948242188,2917.825927734375,14.988670349121094,14.988669395446777,14.988669395446777,8.005202293395996,6.20156717300415,18.40557289123535,1183.367289406177,318.09796142578125,22213.512706279755
60,2,3520.0,0.5010000467300415,0.48479998111724854,8.434680938720703,8.434679985046387,8.434679985046387,377.25457763671875,227.63954162597656,1952.6148681640625,7.308200836181641,7.308200836181641,7.308200836181641,368.3584899902344,212.88455200195312,2087.05712890625,10.323200225830078,10.323200225830078,10.323200225830078,590.8179931640625,284.60150146484375,5202.45654296875,8.028167724609375,8.028167724609375,8.028167724609375,538.7239379882812,264.624267578125,5042.08203125,6.034230709075928,6.0342302322387695,6.0342302322387695,418.5426330566406,212.7616424560547,3910.045166015625,6.6880693435668945,6.68806791305542,6.68806791305542,310.89990234375,196.4141845703125,2811.2119140625,12.4241943359375,12.424192428588867,12.424192428588867,8.757833480834961,7.565633296966553,18.44905662536621,1090.7533345871477,284.60150146484375,21083.157447338104
70,2,3400.0,0.5505000352859497,0.41849997639656067,24.78215980529785,24.782161712646484,24.782161712646484,442.276123046875,309.6263122558594,2112.78271484375,14.705217361450195,14.705217361450195,14.705217361450195,428.75537109375,275.04412841796875,2265.8837890625,15.014134407043457,15.014134407043457,15.014134407043457,643.1702270507812,328.4393005371094,5607.369140625,9.792790412902832,9.792789459228516,9.792789459228516,560.8887939453125,272.2527160644531,5422.15576171875,6.27599573135376,6.27599573135376,6.27599573135376,404.6789245605469,172.36419677734375,4077.13134765625,8.149319648742676,8.149319648742676,8.149319648742676,313.6261291503906,172.80709838867188,2947.4755859375,18.424226760864258,18.424226760864258,18.424226760864258,9.187162399291992,7.187346458435059,20.650753021240234,1171.1153981237733,328.4393005371094,22550.59293794632
80,3,3394.0,0.5380000472068787,0.4819999933242798,,,,457.40814208984375,303.5280456542969,2209.2236328125,9.801034927368164,9.801034927368164,9.801034927368164,436.2425842285156,236.41458129882812,2401.72021484375,8.40276050567627,8.40276050567627,8.40276050567627,702.550537109375,334.4878234863281,5970.72021484375,8.483949661254883,8.483949661254883,8.483949661254883,630.1754150390625,285.8981018066406,5978.1064453125,14.222911834716797,14.22291374206543,14.22291374206543,514.9833984375,273.1832580566406,4697.36376953125,8.20983600616455,8.20983600616455,8.20983600616455,345.6866149902344,208.07334899902344,3092.3056640625,20.48822021484375,20.48822021484375,20.48822021484375,11.37165641784668,9.690040588378906,23.600618362426758,1294.601354295448,334.4878234863281,24442.64927482605
90,3,3316.0,0.5750000476837158,0.48819997906684875,,,,404.9745788574219,234.5452880859375,2094.97998046875,11.144560813903809,11.144558906555176,11.144558906555176,437.0665588378906,263.5489807128906,2386.69140625,13.028393745422363,13.028392791748047,13.028392791748047,668.8463745117188,344.68646240234375,5924.7763671875,9.229935646057129,9.229935646057129,9.229935646057129,616.4711303710938,294.22222900390625,6026.4736328125,7.984256744384766,7.984256744384766,7.984256744384766,453.7845764160156,196.46966552734375,4610.958984375,8.040849685668945,8.040848731994629,8.040848731994629,324.4465026855469,187.5621795654297,3117.860595703125,15.534228324890137,15.53422737121582,15.53422737121582,8.736494064331055,7.60438871383667,18.582229614257812,1222.470802408195,344.68646240234375,24245.28541660309
100,4,3212.0,0.5990000367164612,0.4729999899864197,,,,455.3325500488281,348.4805603027344,2045.1632080078125,10.978267669677734,10.978267669677734,10.978267669677734,365.8357849121094,204.5810546875,2057.25341796875,7.335554599761963,7.335554599761963,7.335554599761963,572.290771484375,235.2100372314453,5397.01904296875,6.906670093536377,6.906670093536377,6.906670093536377,555.5424194335938,219.05909729003906,5695.0341796875,7.048975944519043,7.048975944519043,7.048975944519043,434.023193359375,154.5921173095703,4546.8076171875,8.233880043029785,8.233879089355469,8.233879089355469,288.0760498046875,105.99530029296875,3066.63671875,15.409754753112793,15.409754753112793,15.409754753112793,7.6285600662231445,6.144608974456787,17.79226303100586,1117.7239272486927,348.4805603027344,22881.61954975128
110,4,3242.0,0.5745000243186951,0.5347999930381775,,,,444.1838073730469,334.1054992675781,2027.00439453125,10.906471252441406,10.906472206115723,10.906472206115723,433.4161682128906,290.83782958984375,2272.962890625,11.716153144836426,11.716153144836426,11.716153144836426,655.3014526367188,301.85418701171875,5873.0625,7.761653423309326,7.761653423309326,7.761653423309326,630.783447265625,267.94525146484375,6211.69287109375,7.086297988891602,7.086297512054443,7.086297512054443,477.60791015625,203.1803436279297,4831.9130859375,8.604446411132812,8.604446411132812,8.604446411132812,313.1302185058594,129.77200317382812,3196.783935546875,24.378583908081055,24.378582000732422,24.378582000732422,11.811007499694824,10.380475997924805,23.984941482543945,1240.88313726576,334.1054992675781,24507.8582239151
120,4,3196.0,0.596500039100647,0.5988999605178833,,,,308.50457763671875,174.61923217773438,1719.2305908203125,7.093900203704834,7.093900203704834,7.093900203704834,321.482421875,131.9867706298828,2014.7158203125,10.221525192260742,10.221524238586426,10.221524238586426,530.2425537109375,189.24435424804688,5325.5107421875,6.879217624664307,6.879217624664307,6.879217624664307,550.0164794921875,198.08287048339844,5941.1240234375,6.422128677368164,6.422129154205322,6.422129154205322,431.9288635253906,146.43553161621094,4723.2626953125,8.769794464111328,8.769795417785645,8.769795417785645,279.2426452636719,100.91624450683594,3075.432373046875,17.446584701538086,17.446582794189453,17.446582794189453,8.157611846923828,7.065117359161377,17.38227653503418,1023.4410208553586,198.08287048339844,22873.491671085358
130,5,3152.0,0.6145000457763672,0.5924999713897705,,,,391.6405334472656,254.9840545654297,2006.9012451171875,11.4959135055542,11.4959135055542,11.4959135055542,357.1767272949219,170.84767150878906,2133.11328125,11.38322639465332,11.38322639465332,11.38322639465332,578.5233154296875,215.22723388671875,5559.14794921875,7.559720039367676,7.559719562530518,7.559719562530518,580.6962280273438,211.96470642089844,6140.24609375,8.247529029846191,8.247528076171875,8.247528076171875,456.5479431152344,163.56460571289062,4909.185546875,9.95351791381836,9.953518867492676,9.953518867492676,298.08056640625,141.40890502929688,3155.125,17.892837524414062,17.892839431762695,17.892839431762695,8.940929412841797,7.804101467132568,18.45198631286621,1118.4940668048655,254.9840545654297,23988.70384836197
140,5,3128.0,0.6150000095367432,0.6049999594688416,,,,404.91851806640625,271.54254150390625,1987.593505859375,10.389557838439941,10.389557838439941,10.389557838439941,356.7166442871094,202.9495849609375,2068.88134765625,7.210206985473633,7.210206985473633,7.210206985473633,539.363525390625,197.46717834472656,5285.75390625,7.015913009643555,7.015913009643555,7.015913009643555,593.4472045898438,249.47848510742188,6109.3076171875,7.810068607330322,7.810068607330322,7.810068607330322,448.7859802246094,177.16339111328125,4865.556640625,8.100773811340332,8.100773811340332,8.100773811340332,296.93438720703125,142.56881713867188,3133.472412109375,9.647603988647461,9.647603988647461,9.647603988647461,5.49240779876709,3.9858179092407227,13.597156524658203,1106.4972976200106,271.54254150390625,23514.336710453033
150,6,3064.0,0.6570000052452087,0.6295999884605408,,,,369.80316162109375,221.910888671875,1816.2451171875,9.355559349060059,9.355560302734375,9.355560302734375,322.0611267089844,164.84971618652344,1919.6898193359375,9.15650749206543,9.15650749206543,9.15650749206543,516.1914672851562,178.55152893066406,5084.94677734375,7.9802141189575195,7.980214595794678,7.980214595794678,569.5984497070312,185.62786865234375,5998.7568359375,8.5249605178833,8.524961471557617,8.524961471557617,442.4616394042969,174.1504669189453,4776.27587890625,8.901962280273438,8.901962280273438,8.901962280273438,301.152587890625,132.88735961914062,3157.130859375,13.739266395568848,13.739266395568848,13.739266395568848,6.998682498931885,5.869234085083008,15.962340354919434,1057.5744308775068,221.910888671875,22826.66610097885
160,6,3028.0,0.6695000529289246,0.6502999663352966,,,,284.5556640625,123.7750473022461,1604.48974609375,6.833888053894043,6.833888053894043,6.833888053894043,317.7379455566406,136.36163330078125,1916.5732421875,7.552855014801025,7.552855491638184,7.552855491638184,548.4890747070312,244.55577087402344,5125.0673828125,7.699833869934082,7.699833869934082,7.699833869934082,566.9400024414062,254.87213134765625,5882.07421875,7.459792137145996,7.459792137145996,7.459792137145996,438.41595458984375,225.6519012451172,4604.7900390625,8.666560173034668,8.666560173034668,8.666560173034668,270.9588317871094,113.39108276367188,2945.859619140625,13.325927734375,13.325925827026367,13.325925827026367,6.358319282531738,4.98794412612915,15.066956520080566,1034.5673485204702,254.87213134765625,22145.46006011963
170,6,3072.0,0.6420000195503235,0.564300000667572,,,,416.4166564941406,277.3435974121094,2013.0823974609375,10.23236083984375,10.232359886169434,10.232359886169434,398.0274963378906,222.91749572753906,2208.89404296875,8.2701997756958,8.270200729370117,8.270200729370117,628.1544189453125,306.3070068359375,5758.18603515625,8.362048149108887,8.362048149108887,8.362048149108887,622.9793090820312,270.6901550292969,6472.1240234375,6.846191883087158,6.846192359924316,6.846192359924316,459.7698059082031,167.92686462402344,5003.7548828125,9.72961139678955,9.72961139678955,9.72961139678955,292.54351806640625,126.45298767089844,3140.905517578125,15.940991401672363,15.940993309020996,15.940993309020996,8.061447143554688,6.531374454498291,17.979904174804688,1188.3532962462118,306.3070068359375,24674.30820941925
180,7,3078.0,0.6470000147819519,0.6520999670028687,,,,399.8775329589844,287.0450439453125,1923.921142578125,6.323986530303955,6.323986053466797,6.323986053466797,359.21575927734375,204.69305419921875,2074.636474609375,9.76762866973877,9.767629623413086,9.767629623413086,559.53125,222.5992431640625,5407.8349609375,9.550629615783691,9.550629615783691,9.550629615783691,605.3486328125,269.4389953613281,6279.07666015625,7.630475044250488,7.63047456741333,7.63047456741333,456.6187744140625,187.77406311035156,4938.23974609375,9.312891006469727,9.312891006469727,9.312891006469727,297.7474060058594,108.53101348876953,3195.1357421875,13.871058464050293,13.871058464050293,13.871058464050293,7.226955413818359,6.106280326843262,15.941661834716797,1125.2691305287794,287.0450439453125,23891.243057727814
