step,epoch,loss,train_acc,val_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear
0,0,4620.0,0.11050000786781311,0.12229999899864197,2.420792579650879,2.4207923412323,2.4207923412323,149.766845703125,72.95953369140625,840.7808837890625,1.7174969911575317,1.7174967527389526,1.7174967527389526,113.89351654052734,65.84040069580078,672.416748046875,1.8021174669265747,1.8021175861358643,1.8021175861358643,259.0202941894531,140.234375,2200.857421875,1.0649040937423706,1.0649040937423706,1.0649040937423706,191.2548370361328,122.27509307861328,1573.259033203125,0.9655149579048157,0.9655149579048157,0.9655149579048157,154.8745574951172,95.09198760986328,1378.817138671875,2.5822033882141113,2.5822033882141113,2.5822033882141113,142.39341735839844,90.05341339111328,1089.928955078125,4.4215593338012695,4.421558856964111,4.421558856964111,17.107254028320312,16.457155227661133,27.87921142578125,428.5636248462726,140.234375,7798.913980066776
5,0,3936.0,0.3890000283718109,0.2985999882221222,30.70216178894043,30.702159881591797,30.702159881591797,416.9001770019531,328.6683044433594,1364.176025390625,19.795228958129883,19.795228958129883,19.795228958129883,340.82867431640625,237.33322143554688,1053.97314453125,19.076284408569336,19.076284408569336,19.076284408569336,235.78221130371094,159.2136688232422,1120.30419921875,8.956786155700684,8.956785202026367,8.956785202026367,195.4943084716797,133.87918090820312,966.678466796875,5.046611309051514,5.046611309051514,5.046611309051514,152.7975616455078,92.26835632324219,929.09130859375,5.318602085113525,5.318602085113525,5.318602085113525,151.50045776367188,89.23599243164062,1029.7205810546875,11.343310356140137,11.34330940246582,11.34330940246582,9.803317070007324,7.832329750061035,22.194793701171875,657.3719161801724,328.6683044433594,6586.377500534058
10,0,3536.0,0.49150002002716064,0.44290000200271606,19.94536590576172,19.945363998413086,19.945363998413086,386.5110778808594,339.93719482421875,1147.47705078125,16.962059020996094,16.962060928344727,16.962060928344727,300.40130615234375,207.18222045898438,1005.763427734375,13.30422306060791,13.30422306060791,13.30422306060791,240.30686950683594,168.07748413085938,1182.8978271484375,8.316967010498047,8.316967010498047,8.316967010498047,241.71133422851562,179.96017456054688,1131.3023681640625,7.877461910247803,7.8774614334106445,7.8774614334106445,212.95309448242188,158.78515625,1154.2557373046875,9.544979095458984,9.544979095458984,9.544979095458984,205.26278686523438,138.52223205566406,1315.353271484375,18.46209716796875,18.46209716796875,18.46209716796875,16.210357666015625,13.84619140625,30.633285522460938,667.063595116021,339.93719482421875,7062.096120834351
15,0,3092.0,0.6350000500679016,0.6101999878883362,10.702094078063965,10.70209789276123,10.70209789276123,179.66476440429688,155.2257080078125,572.1008911132812,6.931697845458984,6.931698322296143,6.931698322296143,111.8644027709961,63.29581069946289,516.0717163085938,7.799647808074951,7.799647331237793,7.799647331237793,99.16439819335938,56.91337966918945,683.5233154296875,5.065136909484863,5.065136909484863,5.065136909484863,108.21124267578125,65.85037994384766,714.5182495117188,5.563185691833496,5.563185691833496,5.563185691833496,103.58453369140625,62.852638244628906,758.385009765625,8.233516693115234,8.233516693115234,8.233516693115234,124.54230499267578,79.52214813232422,936.96240234375,19.6590633392334,19.659061431884766,19.659061431884766,10.89238452911377,9.115604400634766,21.95772933959961,305.66288694247436,155.2257080078125,4267.473658084869
20,0,2908.0,0.6845000386238098,0.6190999746322632,10.437697410583496,10.437699317932129,10.437699317932129,190.5642547607422,149.86558532714844,649.3058471679688,10.175992012023926,10.175992012023926,10.175992012023926,136.4641571044922,86.01055908203125,612.0845947265625,13.459136962890625,13.459136962890625,13.459136962890625,109.66412353515625,57.489994049072266,802.27783203125,9.067670822143555,9.067669868469238,9.067669868469238,109.8537826538086,57.958580017089844,809.3927612304688,8.372387886047363,8.372387886047363,8.372387886047363,93.37918090820312,50.02032470703125,788.2738647460938,8.451743125915527,8.451743125915527,8.451743125915527,100.66725158691406,56.33135986328125,862.064453125,21.288747787475586,21.288745880126953,21.288745880126953,10.897080421447754,9.012203216552734,23.366065979003906,314.76053634061276,149.86558532714844,4628.018794059753
25,1,2748.0,0.7445000410079956,0.6840999722480774,17.859745025634766,17.85974884033203,17.85974884033203,152.959716796875,121.62896728515625,564.6666259765625,14.75430965423584,14.754308700561523,14.754308700561523,120.70217895507812,64.60908508300781,584.2372436523438,13.45617389678955,13.456171989440918,13.456171989440918,108.49848175048828,55.49641418457031,822.1658935546875,9.38831901550293,9.388319969177246,9.388319969177246,113.09302520751953,54.32020950317383,868.4735107421875,8.75927734375,8.75927734375,8.75927734375,93.9310531616211,47.187347412109375,823.71826171875,11.398673057556152,11.398674011230469,11.398674011230469,86.00016021728516,44.55748748779297,780.1196899414062,20.70916175842285,20.70915985107422,20.70915985107422,8.518841743469238,6.979233741760254,18.71797752380371,283.3031559890561,121.62896728515625,4558.424863815308
30,1,2584.0,0.7900000214576721,0.7299000024795532,8.529573440551758,8.529573440551758,8.529573440551758,122.05183410644531,93.85267639160156,460.8334045410156,9.818538665771484,9.818538665771484,9.818538665771484,100.90757751464844,50.06905746459961,499.3448181152344,11.247950553894043,11.247949600219727,11.247949600219727,90.56594848632812,45.6190299987793,739.9219970703125,7.578600883483887,7.5786004066467285,7.5786004066467285,90.18241119384766,40.75658416748047,789.04296875,6.281423568725586,6.281424045562744,6.281424045562744,74.89380645751953,34.93971252441406,731.2645263671875,6.944478511810303,6.944478511810303,6.944478511810303,66.13092803955078,27.838106155395508,652.15185546875,13.740011215209961,13.740011215209961,13.740011215209961,7.039630889892578,5.639773368835449,15.044699668884277,228.20071186214318,93.85267639160156,3951.744845867157
35,1,2562.0,0.7920000553131104,0.770799994468689,8.953202247619629,8.953201293945312,8.953201293945312,122.5562744140625,97.42015075683594,475.3486022949219,10.889902114868164,10.889901161193848,10.889901161193848,109.17587280273438,57.698699951171875,543.7757568359375,9.859524726867676,9.859524726867676,9.859524726867676,97.7516098022461,46.104827880859375,813.3381958007812,7.83218240737915,7.832181453704834,7.832181453704834,102.20384216308594,41.637332916259766,896.96044921875,7.969097137451172,7.96909761428833,7.96909761428833,82.21244049072266,31.485877990722656,807.5631103515625,9.248908996582031,9.248908996582031,9.248908996582031,60.534366607666016,25.224699020385742,616.0089721679688,13.927942276000977,13.927942276000977,13.927942276000977,5.855485916137695,4.789079666137695,12.713277816772461,241.0359626906005,97.42015075683594,4234.389122009277
40,1,inf,0.8235000371932983,0.7871999740600586,10.243231773376465,10.243232727050781,10.243232727050781,100.51629638671875,65.32088470458984,417.6012878417969,8.254155158996582,8.254156112670898,8.254156112670898,99.0016860961914,58.6751594543457,484.2099304199219,11.635130882263184,11.635129928588867,11.635129928588867,86.7906494140625,42.98652648925781,740.9964599609375,9.546507835388184,9.546506881713867,9.546506881713867,90.88166046142578,42.34846878051758,834.6162109375,10.402557373046875,10.402557373046875,10.402557373046875,70.9614028930664,28.502763748168945,734.8731689453125,7.8192853927612305,7.819284915924072,7.819284915924072,52.2752571105957,19.685762405395508,545.2134399414062,10.236063957214355,10.236063003540039,10.236063003540039,5.096478462219238,3.9091596603393555,11.575221061706543,210.15434425373775,65.32088470458984,3837.222650051117
45,1,inf,0.8290000557899475,0.771399974822998,7.188663482666016,7.188664436340332,7.188664436340332,73.93244171142578,47.57497024536133,345.6216735839844,9.615898132324219,9.615898132324219,9.615898132324219,75.93159484863281,36.89232635498047,421.4693603515625,10.753080368041992,10.753079414367676,10.753079414367676,75.68042755126953,34.85441207885742,707.9656982421875,9.423436164855957,9.423436164855957,9.423436164855957,84.1501693725586,36.3425178527832,831.237548828125,10.22024917602539,10.22024917602539,10.22024917602539,69.1225814819336,26.032093048095703,735.4362182617188,11.49741268157959,11.497413635253906,11.497413635253906,52.183834075927734,23.481258392333984,530.9876098632812,13.360034942626953,13.360033988952637,13.360033988952637,6.552437782287598,5.699336528778076,13.554261207580566,179.85582057664007,47.57497024536133,3658.33114528656
