step,epoch,loss,train_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear,val_acc
0,0,4620.0,0.11050000786781311,2.420792579650879,2.4207923412323,2.4207923412323,149.766845703125,72.95953369140625,840.7808837890625,1.7174969911575317,1.7174967527389526,1.7174967527389526,113.89351654052734,65.84040069580078,672.416748046875,1.8021174669265747,1.8021175861358643,1.8021175861358643,259.0202941894531,140.234375,2200.857421875,1.0649040937423706,1.0649040937423706,1.0649040937423706,191.2548370361328,122.27509307861328,1573.259033203125,0.9655149579048157,0.9655149579048157,0.9655149579048157,154.8745574951172,95.09198760986328,1378.817138671875,2.5822033882141113,2.5822033882141113,2.5822033882141113,142.39341735839844,90.05341339111328,1089.928955078125,4.4215593338012695,4.421558856964111,4.421558856964111,17.107254028320312,16.457155227661133,27.87921142578125,428.5636248462726,140.234375,7798.913980066776,0.664900004863739
20,0,2812.0,0.7315000295639038,12.907103538513184,12.907106399536133,12.907106399536133,134.14276123046875,85.52021789550781,582.1179809570312,8.712714195251465,8.712714195251465,8.712714195251465,149.6192626953125,85.11377716064453,663.3961791992188,10.567184448242188,10.567184448242188,10.567184448242188,128.83572387695312,71.4465560913086,908.10791015625,7.1730241775512695,7.1730241775512695,7.1730241775512695,132.61595153808594,76.13998413085938,951.4381103515625,6.870254993438721,6.8702545166015625,6.8702545166015625,107.86297607421875,62.47422409057617,903.4163818359375,7.112832069396973,7.112832069396973,7.112832069396973,95.53742218017578,54.301273345947266,866.8643188476562,11.934040069580078,11.934040069580078,11.934040069580078,6.318206787109375,4.908973693847656,14.307732582092285,309.8603158847884,85.52021789550781,4954.925769805908,0.664900004863739
40,1,inf,0.8200000524520874,8.983308792114258,8.983308792114258,8.983308792114258,124.8143310546875,98.99494171142578,496.35430908203125,12.620087623596191,12.620086669921875,12.620086669921875,116.75458526611328,63.56608963012695,569.7657470703125,14.18349838256836,14.183497428894043,14.183497428894043,105.24700927734375,52.55931091308594,883.6229858398438,9.216599464416504,9.21660041809082,9.21660041809082,108.59563446044922,48.243743896484375,998.0875244140625,9.734607696533203,9.734606742858887,9.734606742858887,85.1916732788086,33.584102630615234,878.75,8.206418991088867,8.206416130065918,8.206416130065918,58.856895446777344,20.473352432250977,625.675537109375,10.156270027160645,10.156270027160645,10.156270027160645,4.737441062927246,3.8041818141937256,10.719968795776367,252.2215997680407,98.99494171142578,4536.076858520508,0.7378999590873718
60,2,inf,0.8675000667572021,12.217430114746094,12.217428207397461,12.217428207397461,85.64460754394531,58.74870681762695,383.1304931640625,10.138240814208984,10.138240814208984,10.138240814208984,90.19619750976562,57.73705291748047,463.6025390625,11.7448091506958,11.744807243347168,11.744807243347168,86.67496490478516,45.106266021728516,784.9718017578125,9.351905822753906,9.351905822753906,9.351905822753906,92.97077178955078,39.27143859863281,954.0191040039062,8.592761039733887,8.592761039733887,8.592761039733887,76.18083953857422,28.016616821289062,845.362060546875,9.906502723693848,9.906502723693848,9.906502723693848,48.09031295776367,18.268529891967773,518.9686889648438,9.871840476989746,9.871840476989746,9.871840476989746,4.989598751068115,3.929178237915039,11.475372314453125,201.28198425757088,58.74870681762695,4033.353546142578,0.8267999887466431
80,3,inf,0.8975000381469727,,,,70.90522003173828,47.3420524597168,324.476318359375,8.779064178466797,8.779064178466797,8.779064178466797,69.43937683105469,28.610795974731445,412.9383544921875,9.063283920288086,9.063283920288086,9.063283920288086,73.79923248291016,26.834379196166992,740.7550659179688,10.485227584838867,10.48522663116455,10.48522663116455,83.99127197265625,29.71756935119629,924.41064453125,10.786927223205566,10.78692626953125,10.78692626953125,70.15174865722656,25.35884666442871,801.2727661132812,11.312919616699219,11.312917709350586,11.312917709350586,42.322418212890625,16.431272506713867,448.7737731933594,9.639665603637695,9.639665603637695,9.639665603637695,4.842015743255615,3.734132766723633,11.219794273376465,172.31528077188932,47.3420524597168,3723.9138011932373,0.8551999926567078
100,4,inf,0.9205000400543213,,,,48.37834167480469,24.150474548339844,251.5428009033203,8.1258544921875,8.1258544921875,8.1258544921875,63.615901947021484,38.355648040771484,362.48223876953125,11.103158950805664,11.103157997131348,11.103157997131348,66.18452453613281,34.44794464111328,655.477294921875,8.474325180053711,8.474325180053711,8.474325180053711,75.01915740966797,34.165592193603516,848.118408203125,8.229911804199219,8.229911804199219,8.229911804199219,60.95763397216797,22.03436279296875,718.3631591796875,9.381092071533203,9.381091117858887,9.381091117858887,30.646835327148438,11.292004585266113,340.73223876953125,7.02274751663208,7.022747039794922,7.022747039794922,3.5004260540008545,2.8928234577178955,7.720770835876465,146.7283407678816,38.355648040771484,3236.7739992141724,0.8788999915122986
120,4,inf,0.9235000610351562,,,,52.44877243041992,26.31679344177246,271.196533203125,7.8845930099487305,7.884593486785889,7.884593486785889,62.14946365356445,30.57984161376953,369.1207580566406,9.885473251342773,9.885472297668457,9.885472297668457,66.3547134399414,25.72337532043457,685.70556640625,10.175955772399902,10.175955772399902,10.175955772399902,79.04431915283203,27.312400817871094,912.0997314453125,12.430463790893555,12.430463790893555,12.430463790893555,65.1499252319336,21.972702026367188,774.2684326171875,11.99527359008789,11.99527359008789,11.99527359008789,30.1202449798584,10.426908493041992,335.71392822265625,6.3017168045043945,6.301715850830078,6.301715850830078,3.205174446105957,2.4741249084472656,7.463801383972168,151.74963302748952,30.57984161376953,3414.24222612381,0.8788999915122986
140,5,inf,0.936500072479248,,,,38.98089599609375,16.813486099243164,217.34642028808594,6.432047367095947,6.432047367095947,6.432047367095947,52.100830078125,23.655961990356445,324.93890380859375,10.369803428649902,10.369803428649902,10.369803428649902,61.05686569213867,22.76019859313965,650.6649169921875,9.655248641967773,9.655248641967773,9.655248641967773,74.78306579589844,27.76470947265625,892.2523193359375,12.828263282775879,12.828262329101562,12.828262329101562,61.294803619384766,22.592100143432617,750.1868286132812,12.992944717407227,12.992944717407227,12.992944717407227,28.06475257873535,12.549193382263184,305.12481689453125,7.06071662902832,7.060716152191162,7.060716152191162,3.5472521781921387,3.196634292602539,6.990991592407227,136.88346636809945,27.76470947265625,3206.844220161438,0.8788999915122986
160,6,inf,0.9630000591278076,,,,38.237701416015625,19.888959884643555,201.88070678710938,6.372865200042725,6.372865676879883,6.372865676879883,49.21466064453125,27.797914505004883,296.63861083984375,7.73548698425293,7.735487937927246,7.735487937927246,55.4903450012207,22.211837768554688,591.3172607421875,8.04355239868164,8.04355239868164,8.04355239868164,68.91345977783203,26.202571868896484,824.3006591796875,9.04322624206543,9.04322624206543,9.04322624206543,58.10795211791992,22.58240509033203,697.3111572265625,9.012332916259766,9.012333869934082,9.012333869934082,24.768939971923828,9.853813171386719,269.48040771484375,4.936960220336914,4.936960220336914,4.936960220336914,2.804069995880127,2.3241593837738037,6.035833358764648,126.73938149076952,27.797914505004883,2932.109062194824,0.8988999724388123
180,7,inf,0.9625000357627869,,,,34.68052673339844,17.92818832397461,191.41029357910156,7.5681986808776855,7.568199157714844,7.568199157714844,47.758235931396484,22.067678451538086,298.59442138671875,9.210287094116211,9.210287094116211,9.210287094116211,56.240318298339844,23.10298728942871,602.9596557617188,9.198356628417969,9.198357582092285,9.198357582092285,70.01459503173828,25.77144432067871,848.7103271484375,10.59090805053711,10.59090805053711,10.59090805053711,61.44587707519531,27.99104881286621,722.1824951171875,12.732304573059082,12.732303619384766,12.732303619384766,28.018394470214844,12.942367553710938,281.05230712890625,6.633893013000488,6.633893013000488,6.633893013000488,3.6020450592041016,2.934581995010376,7.456223487854004,129.10154977480227,27.99104881286621,3008.29967212677,0.9140999913215637
