step,epoch,loss,train_acc,val_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear
0,0,4608.0,0.09700000286102295,0.09149999916553497,3.80199933052063,3.801999568939209,3.801999568939209,134.37806701660156,56.93556213378906,790.4929809570312,1.446476936340332,1.4464770555496216,1.4464770555496216,93.96981811523438,44.06973648071289,599.6094360351562,1.2020785808563232,1.2020785808563232,1.2020785808563232,228.27455139160156,108.64551544189453,2118.4462890625,0.9011180996894836,0.9011180996894836,0.9011180996894836,167.3018341064453,94.34603118896484,1531.07861328125,0.8322470188140869,0.8322470188140869,0.8322470188140869,142.65365600585938,78.43380737304688,1367.5767822265625,2.210926055908203,2.210925817489624,2.210925817489624,127.55270385742188,72.21531677246094,1062.0501708984375,3.1520164012908936,3.1520161628723145,3.1520161628723145,13.341828346252441,12.559391975402832,23.73465347290039,379.2348202296881,108.64551544189453,7506.535788238049
5,0,4244.0,0.2605000138282776,0.2687999904155731,24.92612075805664,24.926118850708008,24.926118850708008,315.2535400390625,224.59109497070312,1111.47705078125,18.99518394470215,18.99518394470215,18.99518394470215,347.2136535644531,253.88955688476562,1085.28076171875,19.753076553344727,19.753076553344727,19.753076553344727,286.41986083984375,203.5772705078125,1307.06298828125,7.9693217277526855,7.969321250915527,7.969321250915527,314.00921630859375,222.10079956054688,1393.6058349609375,5.304484844207764,5.304484844207764,5.304484844207764,250.38467407226562,162.099365234375,1244.6397705078125,4.677055835723877,4.677055358886719,4.677055358886719,235.5822296142578,151.8857421875,1207.057373046875,16.37631607055664,16.376314163208008,16.376314163208008,11.312179565429688,8.44869327545166,24.21866798400879,721.5633696605354,253.88955688476562,7471.344002246857
10,0,3984.0,0.33550000190734863,0.2928999960422516,26.736621856689453,26.73661994934082,26.73661994934082,268.2339172363281,203.48011779785156,985.6536865234375,13.051911354064941,13.051910400390625,13.051910400390625,259.7381896972656,208.48526000976562,807.7974853515625,9.03173542022705,9.03173542022705,9.03173542022705,191.78341674804688,142.4733123779297,881.7633666992188,6.35740852355957,6.3574090003967285,6.3574090003967285,217.98194885253906,145.43922424316406,1057.763427734375,5.1126275062561035,5.112627983093262,5.112627983093262,202.76004028320312,131.08584594726562,1038.9027099609375,5.4820380210876465,5.48203706741333,5.48203706741333,226.38453674316406,156.6370086669922,1175.5343017578125,6.640113353729248,6.64011287689209,6.64011287689209,9.105345726013184,6.434197902679443,20.995620727539062,563.2604559823887,208.48526000976562,6040.823051452637
15,0,3718.0,0.41600000858306885,0.2636999785900116,7.360630512237549,7.360628128051758,7.360628128051758,178.9367218017578,98.37939453125,815.638427734375,10.533624649047852,10.533624649047852,10.533624649047852,182.1724853515625,111.3056411743164,743.5497436523438,15.881437301635742,15.881437301635742,15.881437301635742,163.54249572753906,101.24634552001953,876.120849609375,6.0615234375,6.0615234375,6.0615234375,227.09503173828125,151.82260131835938,1098.4105224609375,7.332763671875,7.332763671875,7.332763671875,216.0596160888672,154.62135314941406,1080.8031005859375,5.184709072113037,5.184709548950195,5.184709548950195,214.95790100097656,139.04029846191406,1199.83251953125,12.74837589263916,12.74837589263916,12.74837589263916,9.109817504882812,8.204980850219727,17.94371795654297,487.0240053894454,154.62135314941406,5897.401944160461
20,0,3620.0,0.44600000977516174,0.17889998853206635,12.564579963684082,12.564579963684082,12.564579963684082,327.314697265625,281.6900939941406,1132.944091796875,19.833919525146484,19.833919525146484,19.833919525146484,227.81671142578125,162.2253875732422,963.8532104492188,13.667417526245117,13.667418479919434,13.667418479919434,157.8306121826172,82.1709976196289,1042.84814453125,5.6453142166137695,5.6453142166137695,5.6453142166137695,195.9014892578125,105.64176177978516,1222.775634765625,5.70496940612793,5.7049689292907715,5.7049689292907715,175.65611267089844,90.57520294189453,1170.1710205078125,5.973857402801514,5.9738569259643555,5.9738569259643555,184.63133239746094,96.74602508544922,1272.4195556640625,13.480915069580078,13.480915069580078,13.480915069580078,8.762899398803711,6.116762161254883,20.14685821533203,536.9951001087836,281.6900939941406,6902.029489040375
25,1,3444.0,0.5110000371932983,0.27539998292922974,12.692007064819336,12.69200611114502,12.69200611114502,223.4536590576172,167.5479736328125,917.8619995117188,15.524810791015625,15.524810791015625,15.524810791015625,210.7441864013672,129.3978271484375,909.711181640625,10.828856468200684,10.828856468200684,10.828856468200684,174.38372802734375,103.78667449951172,1073.364501953125,6.689328670501709,6.689328670501709,6.689328670501709,208.24049377441406,117.87137603759766,1300.1630859375,5.183435916900635,5.183435440063477,5.183435440063477,178.665771484375,102.6561279296875,1196.9205322265625,4.966316223144531,4.966316223144531,4.966316223144531,173.5247039794922,90.44193267822266,1244.7996826171875,12.963081359863281,12.963080406188965,12.963080406188965,6.823117256164551,5.22996187210083,16.239702224731445,480.6047911160307,167.5479736328125,6727.90852022171
30,1,3396.0,0.5020000338554382,0.3950999975204468,22.52094268798828,22.520946502685547,22.520946502685547,243.7565460205078,164.66360473632812,1038.244384765625,18.99554443359375,18.99554443359375,18.99554443359375,235.83946228027344,135.77371215820312,1044.376708984375,15.65211296081543,15.65211296081543,15.65211296081543,176.37620544433594,85.78978729248047,1208.3028564453125,6.672028541564941,6.672028541564941,6.672028541564941,204.01817321777344,104.3607406616211,1415.142333984375,6.44058895111084,6.44058895111084,6.44058895111084,174.57315063476562,101.09342193603516,1267.3311767578125,5.219753742218018,5.219753265380859,5.219753265380859,180.77784729003906,108.38043212890625,1307.5999755859375,15.097953796386719,15.097951889038086,15.097951889038086,8.623347282409668,6.394983768463135,19.248638153076172,502.44847203983517,164.66360473632812,7390.845001220703
35,1,3420.0,0.518500030040741,0.2683999836444855,43.30052185058594,43.30051803588867,43.30051803588867,367.8254089355469,240.750244140625,1409.151611328125,23.157630920410156,23.15763282775879,23.15763282775879,316.9613342285156,217.7679901123047,1350.8048095703125,20.032917022705078,20.032917022705078,20.032917022705078,241.67213439941406,129.56649780273438,1560.71044921875,11.276161193847656,11.276161193847656,11.276161193847656,272.59185791015625,137.8433074951172,1838.6162109375,9.815736770629883,9.815735816955566,9.815735816955566,227.44204711914062,112.97949981689453,1636.6781005859375,6.051743030548096,6.0517425537109375,6.0517425537109375,218.30018615722656,104.69539642333984,1589.4332275390625,15.991095542907715,15.991095542907715,15.991095542907715,11.260632514953613,9.416234016418457,23.89722442626953,686.5215119528827,240.750244140625,9538.917436599731
40,1,3266.0,0.5540000200271606,0.3155999779701233,19.688430786132812,19.68842887878418,19.68842887878418,261.3711853027344,211.28297424316406,996.332275390625,13.043891906738281,13.043892860412598,13.043892860412598,204.61761474609375,107.57144927978516,1045.8951416015625,13.914286613464355,13.914285659790039,13.914285659790039,159.78793334960938,81.0984878540039,1281.9642333984375,6.888930320739746,6.888930797576904,6.888930797576904,200.32369995117188,103.84941101074219,1609.329833984375,5.4041972160339355,5.404196739196777,5.404196739196777,158.78639221191406,75.93082427978516,1377.28466796875,4.789278984069824,4.789279460906982,4.789279460906982,144.63743591308594,67.42195129394531,1293.1845703125,9.800128936767578,9.800129890441895,9.800129890441895,6.598161220550537,4.777082920074463,15.633207321166992,472.1956187340356,211.28297424316406,7693.153074264526
45,1,3168.0,0.6065000295639038,0.5539999604225159,23.736175537109375,23.736177444458008,23.736177444458008,209.14219665527344,143.4971466064453,918.634765625,15.594606399536133,15.594603538513184,15.594603538513184,186.04576110839844,98.43769836425781,980.3702392578125,14.7335205078125,14.7335205078125,14.7335205078125,147.84913635253906,70.91030883789062,1240.3680419921875,6.500436782836914,6.500436782836914,6.500436782836914,177.02452087402344,82.49913787841797,1600.28173828125,6.872217655181885,6.872217178344727,6.872217178344727,152.6699981689453,71.8462142944336,1401.419921875,4.212314605712891,4.212314605712891,4.212314605712891,152.29953002929688,74.75516510009766,1326.8671875,13.629005432128906,13.62900447845459,13.62900447845459,8.323189735412598,6.929080486297607,17.249290466308594,423.6032734484014,143.4971466064453,7570.469459533691
