step,epoch,loss,train_acc,val_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear
0,0,4608.0,0.09700000286102295,0.09149999916553497,3.80199933052063,3.801999568939209,3.801999568939209,134.37806701660156,56.93556213378906,790.4929809570312,1.446476936340332,1.4464770555496216,1.4464770555496216,93.96981811523438,44.06973648071289,599.6094360351562,1.2020785808563232,1.2020785808563232,1.2020785808563232,228.27455139160156,108.64551544189453,2118.4462890625,0.9011180996894836,0.9011180996894836,0.9011180996894836,167.3018341064453,94.34603118896484,1531.07861328125,0.8322470188140869,0.8322470188140869,0.8322470188140869,142.65365600585938,78.43380737304688,1367.5767822265625,2.210926055908203,2.210925817489624,2.210925817489624,127.55270385742188,72.21531677246094,1062.0501708984375,3.1520164012908936,3.1520161628723145,3.1520161628723145,13.341828346252441,12.559391975402832,23.73465347290039,379.2348202296881,108.64551544189453,7506.535788238049
5,0,4216.0,0.28450000286102295,0.23249998688697815,20.860279083251953,20.860279083251953,20.860279083251953,330.1568298339844,249.52366638183594,1225.4351806640625,16.030855178833008,16.03085708618164,16.03085708618164,323.649658203125,222.37008666992188,1163.8450927734375,18.666852951049805,18.666851043701172,18.666851043701172,339.8560485839844,243.88388061523438,1818.281005859375,8.491473197937012,8.491473197937012,8.491473197937012,344.1651916503906,230.66685485839844,1826.369384765625,5.824976921081543,5.824977874755859,5.824977874755859,278.97503662109375,175.81210327148438,1557.716796875,5.144002437591553,5.1440019607543945,5.1440019607543945,244.20993041992188,146.10728454589844,1328.757568359375,14.498424530029297,14.498424530029297,14.498424530029297,8.603711128234863,6.618893623352051,19.884868621826172,765.916002555726,249.52366638183594,9029.806762695312
10,0,3848.0,0.38450002670288086,0.3409000039100647,12.481550216674805,12.481550216674805,12.481550216674805,271.64825439453125,199.83460998535156,1108.5286865234375,9.841286659240723,9.841286659240723,9.841286659240723,262.9834289550781,160.1729278564453,1126.98876953125,9.392732620239258,9.392733573913574,9.392733573913574,253.7693634033203,152.0588836669922,1803.91357421875,4.623282432556152,4.623281955718994,4.623281955718994,291.9477844238281,180.42759704589844,2125.930908203125,3.6785314083099365,3.6785316467285156,3.6785316467285156,250.3218536376953,147.95989990234375,1899.767578125,6.343197345733643,6.343197345733643,6.343197345733643,251.79995727539062,170.7888641357422,1747.900146484375,13.278106689453125,13.278106689453125,13.278106689453125,11.601127624511719,9.89466381072998,23.348976135253906,647.5929321386453,199.83460998535156,9896.017327308655
15,0,3672.0,0.460500031709671,0.37389999628067017,18.527753829956055,18.527751922607422,18.527751922607422,334.53558349609375,216.5896759033203,1515.8536376953125,14.317571640014648,14.317574501037598,14.317574501037598,363.9535217285156,252.723388671875,1598.06689453125,15.602749824523926,15.60274887084961,15.60274887084961,379.1868896484375,253.50436401367188,2557.04638671875,7.45822286605835,7.45822286605835,7.45822286605835,402.95648193359375,268.015625,2849.146484375,5.922582149505615,5.922581195831299,5.922581195831299,326.33941650390625,209.3764190673828,2425.11572265625,5.289572715759277,5.289572238922119,5.289572238922119,320.8307189941406,222.017333984375,2177.599365234375,16.883195877075195,16.883195877075195,16.883195877075195,9.855701446533203,8.601251602172852,20.044830322265625,872.4993904608415,268.015625,13226.874969005585
20,0,3472.0,0.49550002813339233,0.39479997754096985,17.043737411499023,17.043733596801758,17.043733596801758,351.2033996582031,267.8388366699219,1478.3760986328125,10.82029914855957,10.82029914855957,10.82029914855957,306.41522216796875,184.3537139892578,1590.945068359375,13.90402603149414,13.90402603149414,13.90402603149414,361.54913330078125,227.83514404296875,2782.902587890625,7.588171005249023,7.588170051574707,7.588170051574707,403.03924560546875,242.5203094482422,3279.34619140625,6.495474338531494,6.495473861694336,6.495473861694336,312.9148254394531,171.51620483398438,2706.783203125,5.632976531982422,5.632976531982422,5.632976531982422,281.3830871582031,159.96603393554688,2328.41259765625,18.902992248535156,18.902992248535156,18.902992248535156,11.179265975952148,8.974797248840332,24.091991424560547,829.8791153944583,267.8388366699219,14271.245409965515
25,1,3260.0,0.5825000405311584,0.5462999939918518,28.481767654418945,28.481767654418945,28.481767654418945,270.4700012207031,168.3033447265625,1212.55712890625,12.758217811584473,12.758216857910156,12.758216857910156,321.10784912109375,243.47552490234375,1474.7093505859375,11.925172805786133,11.925172805786133,11.925172805786133,307.593017578125,153.90650939941406,2671.986328125,5.706055641174316,5.706055641174316,5.706055641174316,333.1662292480469,153.7349090576172,3238.7275390625,4.248802661895752,4.248802661895752,4.248802661895752,257.3505859375,111.75153350830078,2593.167724609375,4.8847222328186035,4.8847222328186035,4.8847222328186035,224.34901428222656,109.47470092773438,2164.886474609375,14.132030487060547,14.132028579711914,14.132028579711914,8.252346992492676,7.334860801696777,17.341922760009766,707.0344813184586,243.47552490234375,13455.513235092163
30,1,3196.0,0.6050000190734863,0.47609999775886536,10.48086166381836,10.480860710144043,10.480860710144043,388.2306823730469,301.0078125,1584.30126953125,9.462141036987305,9.462140083312988,9.462140083312988,373.81805419921875,254.04254150390625,1790.02294921875,15.948052406311035,15.948050498962402,15.948050498962402,347.9706726074219,174.31402587890625,2949.741943359375,6.042543888092041,6.042543411254883,6.042543411254883,381.37103271484375,210.62998962402344,3453.296875,4.870015621185303,4.870015621185303,4.870015621185303,283.71295166015625,141.93759155273438,2758.94921875,5.55728006362915,5.55728006362915,5.55728006362915,244.5894317626953,131.32232666015625,2210.546142578125,11.256753921508789,11.256753921508789,11.256753921508789,7.413586139678955,4.844808101654053,18.225723266601562,835.4842862126528,301.0078125,14828.7017660141
35,1,3150.0,0.6110000014305115,0.48479998111724854,10.664021492004395,10.664020538330078,10.664020538330078,307.6411437988281,252.92445373535156,1247.822021484375,11.033658981323242,11.033658981323242,11.033658981323242,273.7442932128906,173.14169311523438,1482.79541015625,9.891611099243164,9.891611099243164,9.891611099243164,315.09600830078125,159.74859619140625,2729.027099609375,7.156335830688477,7.156335353851318,7.156335353851318,389.6796875,186.44854736328125,3639.427734375,5.989500999450684,5.989500999450684,5.989500999450684,287.3751220703125,123.48076629638672,2904.454833984375,6.755307197570801,6.755307197570801,6.755307197570801,240.96014404296875,118.6397933959961,2294.08154296875,17.00895881652832,17.008956909179688,17.008956909179688,8.576654434204102,6.792415618896484,19.088787078857422,749.7932439014209,252.92445373535156,14385.196820735931
40,1,3180.0,0.5995000004768372,0.3877999782562256,13.680469512939453,13.68047046661377,13.68047046661377,365.6793212890625,272.98431396484375,1510.9866943359375,13.051103591918945,13.051101684570312,13.051101684570312,383.912109375,245.61207580566406,1819.9608154296875,15.347853660583496,15.347853660583496,15.347853660583496,417.89569091796875,246.21278381347656,3253.349609375,9.64694881439209,9.64694881439209,9.64694881439209,461.4884948730469,257.9995422363281,4208.79931640625,8.424005508422852,8.424006462097168,8.424006462097168,325.9533386230469,137.4344482421875,3335.998291015625,7.128482341766357,7.128481388092041,7.128481388092041,249.79408264160156,107.28852081298828,2476.72607421875,21.794353485107422,21.794353485107422,21.794353485107422,9.918312072753906,8.181066513061523,21.703289031982422,915.8287113240351,272.98431396484375,16716.59730577469
45,1,3072.0,0.6425000429153442,0.6279999613761902,10.933089256286621,10.933088302612305,10.933088302612305,324.9913330078125,246.85179138183594,1391.6796875,11.428173065185547,11.42817211151123,11.42817211151123,316.0773010253906,167.01980590820312,1715.614501953125,12.075459480285645,12.075459480285645,12.075459480285645,357.22552490234375,175.59393310546875,3173.23095703125,7.6248674392700195,7.6248674392700195,7.6248674392700195,422.9959716796875,202.0988006591797,4186.00732421875,7.200314044952393,7.200313568115234,7.200313568115234,320.6938171386719,140.39773559570312,3344.505859375,9.284531593322754,9.284531593322754,9.284531593322754,238.5979766845703,104.29304504394531,2411.63037109375,20.64668083190918,20.646682739257812,20.646682739257812,9.233144760131836,7.4158525466918945,20.003971099853516,820.3274270849664,246.85179138183594,16321.865787506104
