step,epoch,loss,train_acc,val_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear
0,0,4608.0,0.09700000286102295,0.09149999916553497,3.80199933052063,3.801999568939209,3.801999568939209,134.37806701660156,56.93556213378906,790.4929809570312,1.446476936340332,1.4464770555496216,1.4464770555496216,93.96981811523438,44.06973648071289,599.6094360351562,1.2020785808563232,1.2020785808563232,1.2020785808563232,228.27455139160156,108.64551544189453,2118.4462890625,0.9011180996894836,0.9011180996894836,0.9011180996894836,167.3018341064453,94.34603118896484,1531.07861328125,0.8322470188140869,0.8322470188140869,0.8322470188140869,142.65365600585938,78.43380737304688,1367.5767822265625,2.210926055908203,2.210925817489624,2.210925817489624,127.55270385742188,72.21531677246094,1062.0501708984375,3.1520164012908936,3.1520161628723145,3.1520161628723145,13.341828346252441,12.559391975402832,23.73465347290039,379.2348202296881,108.64551544189453,7506.535788238049
5,0,4244.0,0.2540000081062317,0.2578999996185303,24.016151428222656,24.01615333557129,24.01615333557129,351.57843017578125,250.29881286621094,1238.402587890625,17.562620162963867,17.5626220703125,17.5626220703125,354.2252197265625,253.61297607421875,1150.60400390625,18.473649978637695,18.473649978637695,18.473649978637695,306.0445861816406,220.62765502929688,1466.26513671875,8.191704750061035,8.191704750061035,8.191704750061035,335.46697998046875,236.79754638671875,1595.870361328125,5.16421365737915,5.16421365737915,5.16421365737915,281.6163635253906,190.86465454101562,1438.48486328125,4.435769557952881,4.435769557952881,4.435769557952881,263.5085754394531,160.61846923828125,1388.5606689453125,16.671171188354492,16.671171188354492,16.671171188354492,10.892090797424316,8.34121322631836,23.431751251220703,778.3092826444763,253.61297607421875,8396.134657859802
10,0,3944.0,0.35450002551078796,0.3051999807357788,13.395248413085938,13.395248413085938,13.395248413085938,338.8564758300781,285.3155822753906,1112.995361328125,12.810667991638184,12.8106689453125,12.8106689453125,327.5389404296875,266.7640380859375,1029.2484130859375,14.532723426818848,14.532722473144531,14.532722473144531,234.5717315673828,170.07611083984375,1168.76123046875,8.070383071899414,8.070383071899414,8.070383071899414,262.1416320800781,172.83056640625,1325.9564208984375,6.132967472076416,6.132966995239258,6.132966995239258,224.101806640625,133.3798828125,1234.3138427734375,5.458488464355469,5.458488941192627,5.458488941192627,219.7430419921875,125.04192352294922,1263.03662109375,10.888278007507324,10.888277053833008,10.888277053833008,8.757098197937012,6.685023784637451,19.31296157836914,667.2621315901245,285.3155822753906,7224.913607120514
15,0,3740.0,0.40550002455711365,0.3612000048160553,20.407499313354492,20.407499313354492,20.407499313354492,292.9860534667969,236.2701873779297,1057.212158203125,13.20565128326416,13.205650329589844,13.205650329589844,280.6465148925781,197.42213439941406,954.6088256835938,8.180270195007324,8.18027114868164,8.18027114868164,205.6078643798828,132.1773681640625,1095.873779296875,4.671473979949951,4.671473503112793,4.671473503112793,246.54324340820312,155.830322265625,1370.586181640625,4.651288032531738,4.6512885093688965,4.6512885093688965,205.90821838378906,108.64547729492188,1277.9310302734375,3.840482711791992,3.840482711791992,3.840482711791992,212.24343872070312,109.7871322631836,1357.4166259765625,16.709476470947266,16.709474563598633,16.709474563598633,8.042304992675781,5.876064777374268,18.939762115478516,596.7971130086544,236.2701873779297,7204.234503269196
20,0,3682.0,0.42750000953674316,0.32429999113082886,18.031784057617188,18.031789779663086,18.031789779663086,323.3268127441406,266.6474914550781,1145.8321533203125,14.517951965332031,14.517951011657715,14.517951011657715,305.5802001953125,229.60667419433594,1112.0628662109375,13.190372467041016,13.190372467041016,13.190372467041016,242.73391723632812,168.905517578125,1324.561767578125,6.567241668701172,6.567241668701172,6.567241668701172,309.31512451171875,228.65235900878906,1621.06005859375,7.128274440765381,7.128274917602539,7.128274917602539,251.28298950195312,165.3131103515625,1485.10986328125,5.621091842651367,5.621092319488525,5.621092319488525,230.5613250732422,133.66452026367188,1484.080810546875,9.414761543273926,9.41476058959961,9.41476058959961,8.26590633392334,6.221457481384277,19.058155059814453,685.4262582647526,266.6474914550781,8266.237157344818
25,1,3560.0,0.46950003504753113,0.3893999755382538,21.458044052124023,21.458045959472656,21.458045959472656,257.2196044921875,162.7606964111328,1021.7071533203125,16.962751388549805,16.962751388549805,16.962751388549805,235.6753387451172,149.3424072265625,954.7395629882812,14.122647285461426,14.122647285461426,14.122647285461426,192.76307678222656,121.54642486572266,1172.765625,9.037487983703613,9.037487983703613,9.037487983703613,250.6750030517578,160.51966857910156,1539.296142578125,7.969000816345215,7.969000339508057,7.969000339508057,219.0587158203125,135.23951721191406,1418.0679931640625,8.01639461517334,8.016393661499023,8.016393661499023,243.9947052001953,141.7633514404297,1547.8641357421875,12.28969669342041,12.289695739746094,12.289695739746094,7.431777477264404,5.163393497467041,17.534229278564453,574.9642004146083,162.7606964111328,7761.830864429474
30,1,3492.0,0.49250003695487976,0.38819998502731323,19.63478660583496,19.634788513183594,19.634788513183594,338.4938049316406,228.65919494628906,1320.4866943359375,15.657418251037598,15.657417297363281,15.657417297363281,285.4804992675781,192.25164794921875,1184.3045654296875,16.8326416015625,16.8326416015625,16.8326416015625,208.9488067626953,119.33606719970703,1360.832763671875,9.169404983520508,9.169404029846191,9.169404029846191,249.49461364746094,147.49783325195312,1630.05419921875,7.348697185516357,7.348697662353516,7.348697662353516,201.66908264160156,112.0234146118164,1411.629150390625,6.016347408294678,6.016347408294678,6.016347408294678,215.98367309570312,122.83011627197266,1485.22021484375,21.395538330078125,21.395538330078125,21.395538330078125,8.149890899658203,6.499791145324707,18.291248321533203,625.2329073506822,228.65919494628906,8506.87367105484
35,1,3458.0,0.499500036239624,0.44699999690055847,19.462608337402344,19.462610244750977,19.462610244750977,338.53125,235.8734588623047,1311.6044921875,14.886265754699707,14.886265754699707,14.886265754699707,284.75665283203125,152.95899963378906,1240.1904296875,12.231993675231934,12.23199462890625,12.23199462890625,229.09043884277344,144.3251953125,1482.03564453125,8.092267036437988,8.092267036437988,8.092267036437988,272.7440490722656,158.3539276123047,1868.87451171875,5.924115180969238,5.92411470413208,5.92411470413208,207.54425048828125,104.87129974365234,1560.53564453125,5.478336811065674,5.478336811065674,5.478336811065674,214.72128295898438,125.28358459472656,1549.36669921875,12.995930671691895,12.995929718017578,12.995929718017578,7.195141792297363,4.785472393035889,17.84111785888672,642.5283039518728,235.8734588623047,9109.520058631897
40,1,3462.0,0.5035000443458557,0.4799000024795532,19.609088897705078,19.609085083007812,19.609085083007812,324.4199523925781,255.78567504882812,1226.09423828125,18.740333557128906,18.740331649780273,18.740331649780273,252.9941864013672,142.51019287109375,1162.9429931640625,13.714920043945312,13.71491813659668,13.71491813659668,211.14984130859375,119.24833679199219,1499.72021484375,9.120712280273438,9.120711326599121,9.120711326599121,253.90164184570312,137.44126892089844,1903.4324951171875,7.901155948638916,7.901155471801758,7.901155471801758,191.1638641357422,92.50939178466797,1584.765380859375,6.751356601715088,6.751356601715088,6.751356601715088,204.55555725097656,100.41683959960938,1628.5047607421875,28.491518020629883,28.49151611328125,28.49151611328125,12.592659950256348,11.456918716430664,23.994102478027344,598.9796454738836,255.78567504882812,9133.783259868622
45,1,3322.0,0.5480000376701355,0.43449997901916504,20.275808334350586,20.27581214904785,20.27581214904785,288.6507263183594,213.84768676757812,1177.7286376953125,16.267414093017578,16.26741600036621,16.26741600036621,265.5404052734375,172.71995544433594,1184.70068359375,12.280014991760254,12.280014038085938,12.280014038085938,215.50733947753906,122.24208068847656,1513.930419921875,7.884802341461182,7.884801864624023,7.884801864624023,260.5227355957031,134.2298583984375,1945.848388671875,8.313725471496582,8.313725471496582,8.313725471496582,197.08094787597656,107.21128845214844,1565.96337890625,4.5661797523498535,4.5661797523498535,4.5661797523498535,182.45135498046875,98.49185943603516,1451.9410400390625,13.459980964660645,13.459979057312012,13.459979057312012,7.632934093475342,6.146854400634766,16.847440719604492,584.3748467875679,213.84768676757812,8940.007917881012
50,2,3248.0,0.5665000081062317,0.5054999589920044,17.16938018798828,17.169382095336914,17.169382095336914,303.02197265625,235.20242309570312,1153.4287109375,12.650985717773438,12.650986671447754,12.650986671447754,264.0631103515625,152.8927459716797,1229.4984130859375,14.472397804260254,14.472396850585938,14.472396850585938,242.71743774414062,125.61834716796875,1646.122314453125,9.212265014648438,9.212265014648438,9.212265014648438,284.1734924316406,140.04489135742188,2126.390380859375,8.975217819213867,8.97521686553955,8.97521686553955,219.80337524414062,103.76191711425781,1754.4180908203125,6.852261066436768,6.852260112762451,6.852260112762451,206.60586547851562,90.57852172851562,1621.164306640625,12.959683418273926,12.959683418273926,12.959683418273926,7.637205123901367,5.616207122802734,18.468372344970703,627.1526269253388,235.20242309570312,9631.78278017044
