step,epoch,loss,train_acc,val_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear
0,0,4608.0,0.09700000286102295,0.09149999916553497,3.80199933052063,3.801999568939209,3.801999568939209,134.37806701660156,56.93556213378906,790.4929809570312,1.446476936340332,1.4464770555496216,1.4464770555496216,93.96981811523438,44.06973648071289,599.6094360351562,1.2020785808563232,1.2020785808563232,1.2020785808563232,228.27455139160156,108.64551544189453,2118.4462890625,0.9011180996894836,0.9011180996894836,0.9011180996894836,167.3018341064453,94.34603118896484,1531.07861328125,0.8322470188140869,0.8322470188140869,0.8322470188140869,142.65365600585938,78.43380737304688,1367.5767822265625,2.210926055908203,2.210925817489624,2.210925817489624,127.55270385742188,72.21531677246094,1062.0501708984375,3.1520164012908936,3.1520161628723145,3.1520161628723145,13.341828346252441,12.559391975402832,23.73465347290039,379.2348202296881,108.64551544189453,7506.535788238049
5,0,4136.0,0.30550000071525574,0.3247999846935272,25.852941513061523,25.85293960571289,25.85293960571289,359.2214660644531,257.60968017578125,1345.0025634765625,20.629220962524414,20.62921905517578,20.62921905517578,366.9842834472656,246.1621551513672,1243.577880859375,22.564220428466797,22.564220428466797,22.564220428466797,433.01165771484375,301.36688232421875,2121.261474609375,9.261393547058105,9.261392593383789,9.261392593383789,382.07427978515625,260.443603515625,1797.144287109375,6.087083339691162,6.087083339691162,6.087083339691162,303.204833984375,191.17257690429688,1578.18359375,4.843683242797852,4.843682765960693,4.843682765960693,266.6042175292969,162.14476013183594,1430.059326171875,17.044963836669922,17.044965744018555,17.044965744018555,10.6499605178833,8.204909324645996,23.380578994750977,873.1332545628675,301.36688232421875,9644.893208503723
10,0,3620.0,0.46000000834465027,0.44349998235702515,9.553974151611328,9.553976058959961,9.553976058959961,186.32373046875,131.1114959716797,791.1973266601562,9.761368751525879,9.761368751525879,9.761368751525879,150.42620849609375,98.677978515625,634.6011352539062,7.0215067863464355,7.0215067863464355,7.0215067863464355,144.4121551513672,68.79573822021484,1001.9482421875,4.3441162109375,4.3441162109375,4.3441162109375,157.1392059326172,83.70861053466797,1079.5616455078125,4.283306121826172,4.283306121826172,4.283306121826172,152.16043090820312,86.45953369140625,1086.2816162109375,5.953258514404297,5.953258514404297,5.953258514404297,171.16165161132812,101.20616912841797,1233.926025390625,16.584901809692383,16.584901809692383,16.584901809692383,8.429819107055664,6.558194160461426,18.96380615234375,394.9632002010701,131.1114959716797,5903.982231616974
15,0,3274.0,0.5625,0.48069998621940613,14.296353340148926,14.296355247497559,14.296355247497559,242.68601989746094,167.00985717773438,951.951171875,16.19095230102539,16.190948486328125,16.190948486328125,194.90927124023438,137.9009552001953,800.4107055664062,13.016427040100098,13.016424179077148,13.016424179077148,189.55667114257812,117.10591888427734,1178.8077392578125,5.70661735534668,5.70661735534668,5.70661735534668,184.1773681640625,113.4408950805664,1189.8203125,4.801184177398682,4.801184177398682,4.801184177398682,160.32994079589844,100.0512924194336,1143.452392578125,5.4591450691223145,5.4591450691223145,5.4591450691223145,173.16200256347656,114.10609436035156,1248.74609375,18.122024536132812,18.12202262878418,18.12202262878418,9.562275886535645,8.412606239318848,19.086814880371094,472.8331163027358,167.00985717773438,6609.8679275512695
20,0,3134.0,0.6160000562667847,0.5843999981880188,11.810571670532227,11.810571670532227,11.810571670532227,155.47032165527344,99.51780700683594,630.9339599609375,10.785116195678711,10.785117149353027,10.785117149353027,113.72840118408203,56.08559799194336,565.49951171875,7.172599792480469,7.172598838806152,7.172598838806152,124.08832550048828,58.578826904296875,900.8621826171875,5.058917045593262,5.0589165687561035,5.0589165687561035,128.1259765625,60.48505401611328,951.1883544921875,3.648228645324707,3.648228645324707,3.648228645324707,108.4150390625,52.35838317871094,906.594970703125,5.172863483428955,5.172863006591797,5.172863006591797,112.47858428955078,63.209564208984375,958.5625,11.467294692993164,11.467293739318848,11.467293739318848,5.500540733337402,4.467836856842041,11.84775161743164,306.36460502903117,99.51780700683594,4980.604820728302
25,1,2980.0,0.6580000519752502,0.6229999661445618,20.23961067199707,20.239604949951172,20.239604949951172,206.35475158691406,157.01568603515625,782.216552734375,18.38943099975586,18.38943099975586,18.38943099975586,153.56053161621094,103.93671417236328,661.8416748046875,12.952383995056152,12.95238208770752,12.95238208770752,146.870849609375,80.18156433105469,987.3046875,6.475228786468506,6.475228786468506,6.475228786468506,142.12551879882812,69.12935638427734,1018.1458129882812,5.691927433013916,5.691927433013916,5.691927433013916,113.10102844238281,56.168941497802734,928.360107421875,5.002034664154053,5.002034664154053,5.002034664154053,95.48712158203125,49.64888381958008,867.5960693359375,9.348676681518555,9.348675727844238,9.348675727844238,4.238658905029297,3.24438738822937,10.12389850616455,361.88914211350203,157.01568603515625,5333.688087940216
30,1,3000.0,0.6490000486373901,0.5958999991416931,19.807674407958984,19.80767250061035,19.80767250061035,201.07542419433594,163.3912811279297,717.057373046875,23.483169555664062,23.483171463012695,23.483171463012695,132.58131408691406,78.29441833496094,631.5719604492188,15.09640884399414,15.09640884399414,15.09640884399414,150.53744506835938,83.52072143554688,1016.2744140625,8.507379531860352,8.507379531860352,8.507379531860352,147.342529296875,70.8738784790039,1077.3392333984375,9.111199378967285,9.111199378967285,9.111199378967285,124.4385986328125,62.82587432861328,1008.7007446289062,7.473419666290283,7.473419666290283,7.473419666290283,111.63262176513672,58.705787658691406,967.7052001953125,15.403135299682617,15.403135299682617,15.403135299682617,6.303211212158203,5.463983058929443,13.420089721679688,363.30044691371387,163.3912811279297,5530.951402187347
35,1,2912.0,0.6795000433921814,0.6255999803543091,11.606679916381836,11.606679916381836,11.606679916381836,189.9473876953125,164.6595001220703,652.1085815429688,15.812767028808594,15.812766075134277,15.812766075134277,146.42430114746094,90.89962768554688,651.6349487304688,14.4527587890625,14.4527587890625,14.4527587890625,183.83395385742188,111.9222412109375,1151.3125,10.172381401062012,10.172381401062012,10.172381401062012,190.34071350097656,111.74241638183594,1293.3087158203125,9.64334487915039,9.64334487915039,9.64334487915039,163.94082641601562,93.35631561279297,1229.3197021484375,9.107327461242676,9.107327461242676,9.107327461242676,135.92942810058594,68.9688491821289,1111.5172119140625,14.82559585571289,14.82559585571289,14.82559585571289,7.8161725997924805,5.848493576049805,17.901351928710938,417.19533364568116,164.6595001220703,6192.7238664627075
40,1,2808.0,0.7120000123977661,0.6687999963760376,12.1624174118042,12.162418365478516,12.162418365478516,142.91683959960938,110.97789764404297,577.6837158203125,12.842008590698242,12.842008590698242,12.842008590698242,123.5775375366211,77.91192626953125,606.192138671875,15.960901260375977,15.960902214050293,15.960902214050293,140.9742431640625,70.95389556884766,1087.54150390625,11.12722396850586,11.12722396850586,11.12722396850586,149.21707153320312,72.97339630126953,1252.8631591796875,8.859683990478516,8.8596830368042,8.8596830368042,124.94009399414062,57.04905319213867,1148.661865234375,8.040824890136719,8.040824890136719,8.040824890136719,100.10081481933594,46.226444244384766,971.9099731445312,14.169587135314941,14.169585227966309,14.169585227966309,5.551838397979736,4.468912124633789,12.14705753326416,323.3147982243919,110.97789764404297,5740.162059783936
45,1,2704.0,0.7450000643730164,0.7210999727249146,10.789268493652344,10.78926944732666,10.78926944732666,99.50061798095703,59.77802276611328,460.9129638671875,8.601003646850586,8.601003646850586,8.601003646850586,97.44794464111328,51.75120162963867,530.4253540039062,9.38839340209961,9.38839340209961,9.38839340209961,113.54061126708984,49.456214904785156,1002.8800048828125,7.378315448760986,7.378314971923828,7.378314971923828,127.80194091796875,52.021644592285156,1186.941162109375,6.512381553649902,6.512381076812744,6.512381076812744,108.88575744628906,42.736820220947266,1095.608154296875,6.341032028198242,6.341031074523926,6.341031074523926,85.5665054321289,30.750505447387695,891.3896484375,9.921661376953125,9.921661376953125,9.921661376953125,4.76094913482666,3.7357404232025146,10.708919525146484,261.410996859188,59.77802276611328,5237.798262119293
