step,epoch,loss,train_acc,val_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear
0,0,4608.0,0.09700000286102295,0.09149999916553497,3.80199933052063,3.801999568939209,3.801999568939209,134.37806701660156,56.93556213378906,790.4929809570312,1.446476936340332,1.4464770555496216,1.4464770555496216,93.96981811523438,44.06973648071289,599.6094360351562,1.2020785808563232,1.2020785808563232,1.2020785808563232,228.27455139160156,108.64551544189453,2118.4462890625,0.9011180996894836,0.9011180996894836,0.9011180996894836,167.3018341064453,94.34603118896484,1531.07861328125,0.8322470188140869,0.8322470188140869,0.8322470188140869,142.65365600585938,78.43380737304688,1367.5767822265625,2.210926055908203,2.210925817489624,2.210925817489624,127.55270385742188,72.21531677246094,1062.0501708984375,3.1520164012908936,3.1520161628723145,3.1520161628723145,13.341828346252441,12.559391975402832,23.73465347290039,379.2348202296881,108.64551544189453,7506.535788238049
5,0,4240.0,0.2355000078678131,0.23249998688697815,15.81926441192627,15.81926441192627,15.81926441192627,287.1900329589844,220.85289001464844,1116.444580078125,7.077776908874512,7.0777764320373535,7.0777764320373535,204.1472930908203,139.80897521972656,831.475830078125,7.777037620544434,7.777037143707275,7.777037143707275,293.87042236328125,175.98638916015625,1959.41845703125,3.986983299255371,3.98698353767395,3.98698353767395,239.74432373046875,145.486328125,1546.8421630859375,2.5251762866973877,2.525176525115967,2.525176525115967,209.82382202148438,130.67178344726562,1334.21337890625,3.9357359409332275,3.9357357025146484,3.9357357025146484,225.47988891601562,155.5234375,1184.4281005859375,10.557351112365723,10.557350158691406,10.557350158691406,9.83760929107666,8.00730037689209,20.90213966369629,602.8809500687202,220.85289001464844,8045.403973340988
10,0,4060.0,0.3330000042915344,0.3237999975681305,17.686370849609375,17.686372756958008,17.686372756958008,341.25921630859375,272.3280334472656,1406.054443359375,10.908429145812988,10.908429145812988,10.908429145812988,253.4346160888672,194.65431213378906,1135.5369873046875,9.852110862731934,9.852110862731934,9.852110862731934,352.9963684082031,224.52210998535156,2608.4287109375,6.278625011444092,6.27862548828125,6.27862548828125,326.55120849609375,200.81735229492188,2263.979736328125,4.101215362548828,4.101215839385986,4.101215839385986,272.19293212890625,159.81370544433594,1957.6982421875,5.89149284362793,5.8914923667907715,5.8914923667907715,304.70172119140625,200.69912719726562,1813.787353515625,22.482959747314453,22.482959747314453,22.482959747314453,8.614790916442871,7.42759895324707,18.03057098388672,761.6171813600964,272.3280334472656,11280.717250823975
15,0,3856.0,0.3840000033378601,0.3344999849796295,21.85603141784668,21.856027603149414,21.856027603149414,357.2955322265625,212.0998992919922,1744.4599609375,7.109561920166016,7.109560966491699,7.109560966491699,297.73980712890625,191.3148193359375,1494.1873779296875,9.363024711608887,9.36302375793457,9.36302375793457,447.8091735839844,222.81805419921875,3567.655029296875,5.794095516204834,5.794095039367676,5.794095039367676,388.4190673828125,226.29550170898438,2952.656494140625,5.430248260498047,5.430247783660889,5.430247783660889,305.0857238769531,183.04531860351562,2427.958740234375,6.928347110748291,6.928347110748291,6.928347110748291,312.8468933105469,211.5422821044922,2157.0771484375,10.382736206054688,10.382736206054688,10.382736206054688,7.6447858810424805,5.672150135040283,17.482086181640625,871.5246404004282,226.29550170898438,14428.34087562561
20,0,3906.0,0.3675000071525574,0.3463999927043915,36.56278991699219,36.56278610229492,36.56278610229492,503.7733154296875,286.6102294921875,2348.836181640625,13.787956237792969,13.787955284118652,13.787955284118652,483.40362548828125,311.6013488769531,2120.95654296875,13.269412994384766,13.269413948059082,13.269413948059082,657.6354370117188,360.8136901855469,4982.8408203125,10.207279205322266,10.207280158996582,10.207280158996582,550.9915161132812,344.6625061035156,4081.86865234375,6.878137588500977,6.878137111663818,6.878137111663818,452.95477294921875,276.0691223144531,3378.98193359375,9.160357475280762,9.160357475280762,9.160357475280762,460.5168151855469,327.5776062011719,2932.798828125,32.32593536376953,32.325931549072266,32.325931549072266,16.024520874023438,14.659086227416992,28.409259796142578,1282.1960007068437,360.8136901855469,19996.884080410004
25,1,3850.0,0.3785000145435333,0.29989999532699585,14.046798706054688,14.046799659729004,14.046799659729004,569.8934936523438,388.7769470214844,2467.345458984375,11.073773384094238,11.073773384094238,11.073773384094238,537.4630126953125,400.3505859375,2315.96728515625,12.476540565490723,12.476540565490723,12.476540565490723,808.144775390625,575.1945190429688,5361.455078125,7.8209919929504395,7.820992469787598,7.820992469787598,627.881103515625,429.256591796875,4504.61083984375,6.373963356018066,6.373963356018066,6.373963356018066,470.1501159667969,269.01153564453125,3621.218017578125,8.331064224243164,8.331064224243164,8.331064224243164,408.3229064941406,266.91314697265625,2962.05419921875,16.378774642944336,16.3787784576416,16.3787784576416,10.07266902923584,7.704626560211182,22.763134002685547,1431.699339850588,575.1945190429688,21331.91592502594
30,1,3620.0,0.44300001859664917,0.42149999737739563,9.550287246704102,9.550287246704102,9.550287246704102,368.2847595214844,194.1356201171875,1902.9825439453125,8.072690963745117,8.072691917419434,8.072691917419434,325.02880859375,158.97265625,1813.1171875,12.767690658569336,12.767691612243652,12.767691612243652,554.75927734375,277.36669921875,4756.4765625,5.827084541320801,5.827084064483643,5.827084064483643,419.45965576171875,209.07115173339844,3900.310546875,4.934656620025635,4.934656143188477,4.934656143188477,333.89044189453125,161.57369995117188,3140.42041015625,7.067172527313232,7.067172527313232,7.067172527313232,319.4362487792969,190.95135498046875,2670.90087890625,12.065544128417969,12.065543174743652,12.065543174743652,9.590959548950195,8.076072692871094,20.37163543701172,969.1074234230443,277.36669921875,18264.86489200592
35,1,3666.0,0.43650001287460327,0.4447999894618988,10.230572700500488,10.230571746826172,10.230571746826172,391.9821472167969,261.7216491699219,1929.1888427734375,13.307382583618164,13.307381629943848,13.307381629943848,374.5931396484375,231.1129913330078,1979.8934326171875,12.35384750366211,12.35384750366211,12.35384750366211,584.3565673828125,264.89910888671875,4973.07421875,7.978998184204102,7.978997230529785,7.978997230529785,482.1165771484375,249.87083435058594,4260.48779296875,6.554871559143066,6.554871559143066,6.554871559143066,390.91314697265625,230.03237915039062,3389.976806640625,7.61552619934082,7.61552619934082,7.61552619934082,350.7739562988281,229.68287658691406,2784.248046875,23.879772186279297,23.879772186279297,23.879772186279297,12.554452896118164,11.492655754089355,23.791080474853516,1070.075383374239,264.89910888671875,19422.58118915558
40,1,3670.0,0.43650001287460327,0.3953999876976013,18.77365493774414,18.77365493774414,18.77365493774414,449.2952575683594,290.6235046386719,2185.6064453125,11.876455307006836,11.876455307006836,11.876455307006836,376.2142333984375,220.12356567382812,1960.4481201171875,11.615924835205078,11.615925788879395,11.615925788879395,579.2012939453125,281.2504577636719,5021.904296875,7.32426643371582,7.32426643371582,7.32426643371582,471.4658203125,234.1310577392578,4413.5439453125,7.965226650238037,7.965226650238037,7.965226650238037,372.21893310546875,205.40875244140625,3413.601318359375,6.0645365715026855,6.064537048339844,6.064537048339844,274.8368835449219,122.55292510986328,2579.578125,17.501537322998047,17.501537322998047,17.501537322998047,8.277989387512207,6.643248558044434,18.93744659423828,1056.5968533409743,290.6235046386719,19674.741301059723
45,1,3610.0,0.46700000762939453,0.39069998264312744,17.287403106689453,17.287403106689453,17.287403106689453,411.0496826171875,243.9089813232422,2154.793701171875,10.733499526977539,10.733499526977539,10.733499526977539,381.25921630859375,194.8874969482422,2130.8408203125,11.255635261535645,11.255636215209961,11.255636215209961,621.2235107421875,271.10693359375,5553.7119140625,8.317109107971191,8.317109107971191,8.317109107971191,541.9224243164062,282.6152648925781,4937.23486328125,9.409555435180664,9.409555435180664,9.409555435180664,384.69866943359375,184.38494873046875,3646.96435546875,7.400075435638428,7.400075435638428,7.400075435638428,309.9145812988281,136.74034118652344,2828.03076171875,23.230253219604492,23.23025131225586,23.23025131225586,10.573214530944824,8.910557746887207,21.993927001953125,1113.267162081406,282.6152648925781,21361.2038731575
