experiment,x_key,x,y_key,y,color,linestyle
NSGD,iterations,0.0,losses,302.89605712890625,gray,--
NSGD,iterations,100.0,losses,54.82676696777344,gray,--
NSGD,iterations,200.0,losses,52.41010284423828,gray,--
NSGD,iterations,300.0,losses,50.58493423461914,gray,--
NSGD,iterations,400.0,losses,49.06925964355469,gray,--
NSGD,iterations,500.0,losses,47.75274658203125,gray,--
NSGD,iterations,600.0,losses,46.57855987548828,gray,--
NSGD,iterations,700.0,losses,45.512718200683594,gray,--
NSGD,iterations,800.0,losses,44.53306579589844,gray,--
NSGD,iterations,900.0,losses,43.624149322509766,gray,--
NSGD,iterations,1000.0,losses,42.77465057373047,gray,--
NSGD,iterations,1100.0,losses,41.97605895996094,gray,--
NSGD,iterations,1200.0,losses,41.221702575683594,gray,--
NSGD,iterations,1300.0,losses,40.50627136230469,gray,--
NSGD,iterations,1400.0,losses,39.82544708251953,gray,--
NSGD,iterations,1500.0,losses,39.17567825317383,gray,--
NSGD,iterations,1600.0,losses,38.553955078125,gray,--
NSGD,iterations,1700.0,losses,37.9577751159668,gray,--
NSGD,iterations,1800.0,losses,37.384952545166016,gray,--
NSGD,iterations,1900.0,losses,36.83359146118164,gray,--
NSGD,iterations,2000.0,losses,36.30207824707031,gray,--
NSGD,iterations,2100.0,losses,35.78895950317383,gray,--
NSGD,iterations,2200.0,losses,35.29298400878906,gray,--
NSGD,iterations,2300.0,losses,34.81298065185547,gray,--
NSGD,iterations,2400.0,losses,34.34796905517578,gray,--
NSGD,iterations,2500.0,losses,33.897010803222656,gray,--
NSGD,iterations,2600.0,losses,33.45931625366211,gray,--
NSGD,iterations,2700.0,losses,33.03411865234375,gray,--
NSGD,iterations,2800.0,losses,32.62074279785156,gray,--
NSGD,iterations,2900.0,losses,32.21855545043945,gray,--
NSGD,iterations,3000.0,losses,31.827007293701172,gray,--
NSGD,iterations,3100.0,losses,31.445554733276367,gray,--
NSGD,iterations,3200.0,losses,31.073734283447266,gray,--
NSGD,iterations,3300.0,losses,30.71109390258789,gray,--
NSGD,iterations,3400.0,losses,30.35721206665039,gray,--
NSGD,iterations,3500.0,losses,30.011707305908203,gray,--
NSGD,iterations,3600.0,losses,29.674238204956055,gray,--
NSGD,iterations,3700.0,losses,29.34444236755371,gray,--
NSGD,iterations,3800.0,losses,29.022022247314453,gray,--
NSGD,iterations,3900.0,losses,28.70669174194336,gray,--
NSGD,iterations,4000.0,losses,28.398157119750977,gray,--
NSGD,iterations,4100.0,losses,28.09618377685547,gray,--
NSGD,iterations,4200.0,losses,27.800512313842773,gray,--
NSGD,iterations,4300.0,losses,27.510921478271484,gray,--
NSGD,iterations,4400.0,losses,27.227184295654297,gray,--
NSGD,iterations,4500.0,losses,26.949115753173828,gray,--
NSGD,iterations,4600.0,losses,26.676498413085938,gray,--
NSGD,iterations,4700.0,losses,26.409170150756836,gray,--
NSGD,iterations,4800.0,losses,26.146942138671875,gray,--
NSGD,iterations,4900.0,losses,25.88966178894043,gray,--
NSGD,iterations,5000.0,losses,25.637161254882812,gray,--
NSGD,iterations,5100.0,losses,25.389297485351562,gray,--
